time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,0.00270999286030437,-1.5805334681262632e-06,0.004151461099326628,0.002409708941581141,0.0006228535014262763,2.778239732952001e-06,0.0009180150529081047,0.0005509686430278758,6.547564694282493e-05,1.718097258880609e-09,9.920244887732041e-05,5.820582212778494e-05,8.956293566305658e-05,2.163812730167165e-09,0.0001359570573965372,7.971996776331183e-05,0.0005286627634512921,-4.108523461313509e-06,0.0007890158161473989,0.0004711953359949687,-0.0029555354176229297,-0.0027424633064371423,-0.00028880375579049336,-0.0018485048989059314,-0.003987383665241567,-0.0016877022370124228,-0.004822651150838797,-0.005533532297577764,-0.005333023095608149,0.007827971750381395,-0.008421724671917735,-0.02205791959099635,0.018395186400541948,0.017763229199340664,-0.17373954494059496,0.0099325103635683,-0.01830576738947906,0.0019284593898288589,-0.11504027447022047,-0.013212225122618382,-0.020018774735899292,-0.02696216019351061,0.05033987107396702,0.025137858240375094,-0.019308107111704637,0.04322533820435096,-0.055703924205900784,-0.020433451846932647,-0.011515594720556854,0.03783580817126264,-0.09255775100381447,-0.0334207488673535,-0.012202156380413942,-0.005749619343541457,-0.006767712284491356,-0.001537793119063004,-6.698732794935313e-05,0.002020011324780144,0.07123954616289566,0.01502499060276511,0.006912107809563685,-0.009387183641337124,-0.06288594100830996,-0.005956460619843631,0.0006258186425891158,-0.0015716267498478052,-0.0009673753338606018,-0.009888267865499853,-0.01969794076546086,-0.002431768345073273,0.03193931173618579,0.006297782711860428,-0.01765250721231635,-0.024787042040735792,0.12485306946753313,0.012901456487404895,-0.02452653630930917,-0.018174643018237673,0.10293100540489082,-0.01725549618305686,-0.002647906594717104,-0.0005120108891131072,0.048938729232961914,0.0002260420061554005,-0.006983960002267099,-0.010538621208388266,0.020269713877803863,0.023434477241893754,-0.012064298818325098,-0.001559252451342063,-0.010547195230331645,-0.005104193036335748,-0.003399295062961216,0.00206189811714598,-0.03637393962214025,-0.004912971807531031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,0.0025415125661041793,1.0255796814569949e-06,0.0038560083889149334,0.0022560874338569273,0.0006270909215869118,8.563471442042515e-07,0.0009412726157466652,0.0005568469791538812,9.523443328488623e-05,1.6399362623559967e-07,0.00014456858302182898,8.461558572563545e-05,8.996356265917768e-05,5.298105039420049e-10,0.0001364769977669608,8.006602558932665e-05,0.0005166979293456201,3.2584298965453656e-07,0.0007854807905802778,0.00045941155794667314,-0.0019184607777885212,-0.0017598153429165,-0.004239312307595718,-0.0025812630990811117,-0.0019720852428678354,-0.0038997316374801694,-0.0007911347793956303,1.724334945573488e-05,-0.0035258902335566695,-0.016314933064534857,-9.183536100174083e-05,0.0136421936799211,-0.022492729295914178,-0.021488078134402257,0.1699880184975624,-0.013585803456001765,0.015466737156179874,-0.004394868348428947,0.11254772030811225,0.01081751065736701,0.017437612358371213,0.02475432616704601,-0.052575518876201696,-0.02727564818593967,0.015984012977203213,-0.04630427982130562,0.05260788999162638,0.01740175313801318,0.005086143494934102,-0.0440203677417096,0.08635511410653235,0.02728310253495511,0.006654460943010115,0.0004466196845898107,0.0014487725647228944,-0.0037178118942051423,-0.0024340379799770574,-0.00427588178841771,-0.07351270516247313,-0.01723362110683816,-0.008570658261479114,0.008101503813605158,0.06157358196287152,0.004742303998049286,-0.0028479631147649495,-0.00040487684877104816,-0.0010277525805968517,0.007959017057232416,0.017410729282271227,0.0003899101399714019,-0.033998513240807285,-0.008292545777816629,0.015909785613255047,0.023289733120682922,-0.12636767755566478,-0.014351646862086504,0.023065763212571276,0.016959294191586455,-0.1041632838220996,0.016087310384523018,0.001111990583024685,-0.000650750201615701,-0.05012785367630873,-0.0013172731229010896,0.004150885963312643,0.008078529708024581,-0.022756605705737558,-0.02582308728452358,0.008754694329149154,-0.0013774919525636148,0.007584087435905321,0.0022390828884037545,8.750492571704335e-05,-0.005001597220809795,0.03341195974406583,0.0020463009391570616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005388951009543577,-0.0053909879952852395,-0.005390871353613019,-0.005391393226507248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005388950992452665,-0.005390987978187864,-0.005390871336516029,-0.0053913932094085916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.05203400880602699,-5.485249497061417e-06,-0.07900834857720995,-0.04627518326949156,-0.041593700758808694,-9.480898417069117e-06,-0.06318516394765217,-0.03694199383377546,-0.023712793376796992,0.0003375739591402471,0.012861735496571436,-0.005320027506624426,-0.02843872278995324,0.0016512271350090368,-0.026399855551026752,-0.009307509496498733,-0.029211585968804955,3.940625866913259e-06,-0.04428394279348378,-0.025981177617153895,-0.0407734617119065,-0.04077238540736169,-0.04073940309328132,-0.04077526950471085,-0.032176885207137434,-0.032186413537749314,-0.03216562251065014,-0.03217637612309815,-0.02862752147056305,-0.02863191654080377,-0.028631411674205243,-0.0286320888098167,-0.02415656091052682,-0.024160415594926127,-0.02416304213484044,-0.024161282931101903,-0.02036258465431201,-0.020366526286884734,-0.020368738099859618,-0.0203679166066792,-0.02164600122877436,-0.021650578541848042,-0.02166281166642159,-0.021649071329181025,-0.02335233437033131,-0.023353081954944337,-0.023357721617852267,-0.02335629582800288,-0.020511771611662094,-0.02051379619724375,-0.02051503826042622,-0.020514899116380998,-0.019233666894380774,-0.01923397510436395,-0.019236724365589097,-0.019235110191999794,-0.014003212384778902,-0.014005302080603937,-0.013998792082336058,-0.014006907531089591,-0.012229369634263909,-0.012233922957550158,-0.012233626634246764,-0.012234815021078906,-0.010873227175924066,-0.010874636798954465,-0.01087253788524778,-0.01087484753258855,-0.01186583751714887,-0.011867368205543322,-0.011867323371151817,-0.011867753044724288,-0.012999395159742968,-0.012998652706186374,-0.01299848236204336,-0.012998339915064588,-0.012301829830093841,-0.012303314873600868,-0.012283805700077144,-0.012300881672573705,-0.010633928252147854,-0.01063733738856514,-0.010629832220134281,-0.010634539652048532,-0.015142610571358118,-0.01514522616199631,-0.0151447819625809,-0.01514539899529531,-0.014236722584741845,-0.014239110265729604,-0.01423897076875269,-0.014239585326391302,-0.019470853632672806,-0.019474155174398634,-0.019470814668448744,-0.019474955847093373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.05170200914140119,1.1776326329093756e-06,-0.0785535065877323,-0.04598671377702688,-0.039876658407289864,-1.1851157216635766e-05,-0.06043814358255095,-0.035417440705780935,-0.02071000096118289,-0.000361492258074414,-0.036690056288251505,-0.0016817740333191205,-0.028819539444690796,-0.0016564170342189821,-0.016986555461611853,-0.00912678322801627,-0.023813092013757114,7.187629915347826e-06,-0.03610870224718804,-0.0211889421298136,-0.042090305565482586,-0.042076337281068014,-0.04210915955917442,-0.042097429926181915,-0.03163245668331646,-0.031637259749869584,-0.031631168859502345,-0.03163746177016843,-0.02876141363537582,-0.028765855638912596,-0.028765863129953217,-0.02876608714626822,-0.023119610485279652,-0.023123323828549303,-0.023125157331734453,-0.023124110618757666,-0.02009381347656372,-0.020097760495128292,-0.02009835762874701,-0.020099149575379116,-0.016981093619855055,-0.01698464313047049,-0.01698543858263184,-0.01698534429902207,-0.02421610827091636,-0.024220331653225242,-0.024211307227822238,-0.02421808004408031,-0.02106806995426981,-0.021070272620422083,-0.02107582066994035,-0.021071698644739994,-0.01738004800105525,-0.017381874367484285,-0.017382024532169194,-0.017382541465491768,-0.01676290989162352,-0.01676568849246741,-0.016761410761590434,-0.01676580248001857,-0.012477823787393462,-0.012482452880271777,-0.012482128657025086,-0.01248336790907924,-0.010816973339251051,-0.010818370969711957,-0.01081624798170544,-0.010818574778756524,-0.012450137404427436,-0.012451815498803281,-0.012450878856226755,-0.012451912146663302,-0.012985590263743704,-0.01298600093750726,-0.01299114878603852,-0.012986268143778658,-0.011427372336789726,-0.011428878898220557,-0.01142667247582907,-0.01142948187751224,-0.008843679096944614,-0.008842908228215915,-0.008849775703700657,-0.008843682312332325,-0.015248399345458213,-0.015251189594393241,-0.015251461266920563,-0.015251789464262472,-0.013880137016592131,-0.013882436309778562,-0.013882297715948622,-0.013882869060848586,-0.019470853632574225,-0.01947415517430466,-0.019470814668348213,-0.019474955846998248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,0.04456138368135435,-3.944923956368618e-08,0.06763180189119611,0.039634858261625466,0.026777796399897302,-6.821960993885767e-07,0.040650166333849214,0.023817951844444324,0.02617611856349679,-5.176188687067552e-07,0.03975946876527508,0.023306681355222545,0.024506926492251793,-9.251361251516599e-07,0.03723959876755778,0.0218207853032947,0.030213249402930353,-1.570142755813464e-07,0.04585581002337058,0.026873757962140244,0.03338180912969746,0.03338535169799095,0.03338613479409691,0.033385650344736784,0.09594730666102133,0.095958405961129,0.09595885543149008,0.09595964910020259,-0.1342814101568044,-0.13431253451075453,-0.13428685333866852,-0.1343058388795832,-0.05090342936460246,-0.0509122416401222,-0.050913297916766354,-0.05091257605666615,-0.04006991862266156,-0.040078517092106525,-0.04007888238978019,-0.04008017059610794,-0.041246983666646364,-0.04125499831285273,-0.041256990765405455,-0.04125761303053894,-0.07163757384508795,-0.07166543897859134,-0.0716768944073829,-0.07164633723898713,-0.1051306849947729,-0.10514324664388841,-0.10514298710407655,-0.10514550301448362,-0.15226252254595485,-0.15227987365852336,-0.15227472721409452,-0.15228323339477604,-0.04525717508962729,-0.04526488436246412,-0.04525029443658646,-0.04526697749033992,-0.034241386179783784,-0.03425415772279605,-0.03425327463415506,-0.03425661128175858,-0.02608955366333264,-0.026092668291349323,-0.026092733455764017,-0.026093975358290784,-0.03486530379730624,-0.03487003409337803,-0.034868888844037105,-0.03487100719250222,-0.036239402289555765,-0.036243967432012025,-0.03622999674632199,-0.03624192601213656,-0.024180788536036557,-0.02418344226475011,-0.0241823710901099,-0.024183489810341043,-0.022549387535200683,-0.02254690199969818,-0.0225668938470538,-0.022550671734129984,-0.0315222506102234,-0.031528056839486285,-0.03153039014704495,-0.03152930708123163,-0.033851575163725334,-0.03385727891538512,-0.03385686221235773,-0.033858342132584235,0.07592782966001663,0.07593737203426876,0.07593225758838083,0.07593777771452123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
