gen_id,gen_type,extra_committed_hours,extra_startups,dam_committed_hours,daruc_committed_hours,periods_added,fuel,category,pmax_mw,pmin_mw
102_CT_1,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
102_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
123_CT_1,THERMAL,7,1,0,7,"[10, 11, 12, 13, 14, 15, 16]",NG,Gas CT,55.0,22
123_CT_4,THERMAL,3,1,0,3,"[14, 15, 16]",NG,Gas CT,55.0,22
201_CT_1,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
201_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
202_CT_1,THERMAL,2,0,1,3,"[15, 16]",Oil,Oil CT,20.0,8
202_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
207_CT_1,THERMAL,18,0,0,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",NG,Gas CT,55.0,22
207_CT_2,THERMAL,18,0,0,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",NG,Gas CT,55.0,22
213_CC_3,THERMAL,2,0,13,15,"[19, 20]",NG,Gas CC,355.0,170
301_CT_1,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
301_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
301_CT_3,THERMAL,8,1,0,8,"[9, 10, 11, 12, 13, 14, 15, 16]",NG,Gas CT,55.0,22
301_CT_4,THERMAL,8,1,0,8,"[9, 10, 11, 12, 13, 14, 15, 16]",NG,Gas CT,55.0,22
302_CT_1,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
302_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
315_CT_6,THERMAL,2,0,2,4,"[16, 17]",NG,Gas CT,55.0,22
315_CT_7,THERMAL,21,0,0,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",NG,Gas CT,55.0,22
315_CT_8,THERMAL,21,0,0,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",NG,Gas CT,55.0,22
318_CC_1,THERMAL,5,0,12,17,"[17, 18, 19, 20, 21]",NG,Gas CC,355.0,170
