,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,30.914010106732633,30.21961899214616,30.025127615753807,30.034782053190384,30.218096483867264,31.314411017715415,32.51005597041035,36.25657721699166,41.26440630049271,39.900396967036684,41.55206774810384,51.98319563322849,43.056580073599555,57.780003440065926,60.471246333169894,43.9999708448204,51.90735429880116,43.647703679613116,48.493762031770096,52.4843287243425,49.76447059392005,38.77824268444117,36.208765904620755,33.700415182904,36.583120115312326,32.62272970657608,30.0,30.0,56.44911120490086,67.6021971740885,30.0,33.58369713046294,30.83453973112894,30.0,30.0,76.0
101_STEAM_4,30.856137543408167,30.22160901540861,30.03654219862077,30.034935445308463,30.213463082505072,31.41308964640468,33.57548221502793,36.202593598607606,38.26041891713963,45.14796381918617,48.4284272695924,42.37596982386883,54.289387739971836,43.606691250898336,43.94807437688787,61.496082114770395,52.04714747991318,57.26461961886987,48.72864875319268,42.08514002376279,40.25890661591204,43.32532959674941,38.45937017877487,35.20670429706275,30.0,30.0,35.56730436641216,45.680325871479965,30.0,30.0,75.65379700916887,76.0,76.0,69.83287527507713,60.42734474607609,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.454136221425447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.454136232671058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,58.45677894283273,61.29925230311912,64.78970085092288,65.81072375293303,63.93515694288504,57.951028071920554,59.94841483955108,63.63370285712405,68.3045318916436,67.04661641379073,67.17129806732184,66.26942693862243,67.12017343873399,68.61927376055229,70.05420979199113,67.95326782181561,68.7249947433965,67.80147320740599,66.29945343618996,66.04842613156993,66.07288724912055,66.6507594748484,64.96251169063083,60.222876977383315,76.0,30.0,56.769196020700235,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
102_STEAM_4,58.566992233390806,61.906900246488064,65.1402876676228,67.12206306858172,66.16320169606131,57.36902425247943,60.220016909543716,63.575845584288274,68.63487433974522,67.16480473123485,69.07391263724004,65.90938294206255,66.87926339909995,69.33034749429609,68.88249735061368,67.7897972934255,68.76263800018579,67.39783613931019,66.30857581555281,66.75402789855514,67.74537933544744,66.5852396524883,65.23899955672596,60.22287697746041,38.38267264365908,30.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
107_CC_1,185.02447251831268,179.46954318735317,180.05166358587792,179.51863767414972,182.4797663011461,184.7782721256302,217.8628867041379,296.99234371453775,338.78388942179015,337.38129395894646,338.1766327058774,325.146824330247,309.4873905217352,296.5687378972132,335.78368415596333,332.4697106942692,337.5438778951691,330.9102775955812,327.95381356598443,335.43564993360326,333.95240725952596,335.5372910556832,328.75545470953534,231.52046187354762,170.0,170.0,170.0,170.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,0.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
