time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0030163136891799554,-3.0399666782265434e-08,-0.005310604089364256,-0.0032179216113342297,-0.0018988984834570754,1.3729931514765446e-08,0.0003607380029263432,0.0006841836588498809,1.3259600942443236e-05,2.373017271690079e-11,2.0165981309253526e-05,1.1825579178564349e-05,2.0288824093390855e-05,3.7643180897721734e-11,3.0856429607934836e-05,1.8094446045263828e-05,0.0001892781625727295,4.9204961825952825e-09,0.00028712432777348526,0.00016824137605336273,-0.0027387386748433263,-0.0026140781218501052,-0.0025338469508523476,-0.0025236128791617934,-0.0015183199595399932,-0.001331831404151218,-0.001345161853781418,-0.0012960509191750579,-0.002243254771873663,-0.002058833172095815,-0.0020713513457852537,-0.0020234184691119038,-0.002037146161215735,-0.0018506649716571566,-0.0018639628377834128,-0.0018149101652892299,-0.00102203630957948,-0.0008389599817203573,-0.0008494940552523871,-0.0008005580687147758,-0.001178096961495198,-0.0010496839145555615,-0.0010642139287973494,-0.00102946447051349,-0.000870861642588471,-0.0007455439773091905,-0.0007600866855719946,-0.0007245371889931634,-0.0017613970277338036,-0.0016350073323746237,-0.0016418178671872446,-0.0016100176428769832,-0.0022489859760788824,-0.0021248503780562193,-0.0021325944262946656,-0.00210049658577363,-0.0006325111136900288,-0.0005098250549073822,-0.0005185497332653116,-0.0004862901979696752,-0.0004506160517361709,-0.00032793131363427003,-0.0003367522411263688,-0.000304385786615299,-0.0004704701622710835,-0.00034774329702568207,-0.00035653299093073597,-0.0003241952167461606,-0.0004382407090120406,-0.00031548212235865463,-0.0003242709129690309,-0.0002919316417350733,-0.00036502789106120873,-0.00024253960362787262,-0.0002512649174399937,-0.00021925452080256776,-0.00037445914293679147,-0.0002510163891652795,-0.0002596987711985376,-0.00022728910783075259,-0.0004383195847047378,-0.00025173375228517726,-0.0002651437845249256,-0.00021595551066207755,-0.0008067015122857973,-0.0006201241536038676,-0.0006334662212289879,-0.0005843285926045465,-0.0004601736024310892,-0.0002734999373953466,-0.00028684931733883375,-0.00023769335866881825,-0.000631341209777531,-0.0004446610211883087,-0.00045801275328333484,-0.00040884522101549884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.003060713196897297,2.769191148450597e-08,-0.005387942094883004,-0.0032581382292634535,-0.001898898483457937,1.3729930425094829e-08,0.00036073800291770296,0.0006841836588498809,1.3259521366666675e-05,2.373097340740495e-11,2.0165860300310853e-05,1.1825508241583398e-05,2.0288824092267045e-05,3.7642041602832293e-11,3.08564296002613e-05,1.8094446045263828e-05,0.0001892781625744318,4.9204951170413874e-09,0.0002871243277734087,0.00016824137605592343,-0.002731906704680971,-0.0026075612908984525,-0.002527548111136535,-0.0025173429141347125,-0.0015183199595399932,-0.001331831404151218,-0.001345161853781418,-0.0012960509191750579,-0.002283511567036863,-0.0020954361544942616,-0.0021094581705476748,-0.0020593361689972365,-0.0020393614834220736,-0.001853041213297868,-0.0018664120320758637,-0.0018172980098442664,-0.0010863292661126677,-0.000896445931306348,-0.0009124846340692101,-0.0008631347319198391,-0.0009942818848456354,-0.0008772930734346527,-0.0008802483603472278,-0.0008503364810914245,-0.0008345044599573062,-0.0007143816115934869,-0.0007173905593901719,-0.0006882991790192359,-0.0017917792954175544,-0.0016729083313620477,-0.001683668384041615,-0.0016508723257748744,-0.002256758258974739,-0.002135842297043545,-0.0021456346101920037,-0.0021132010490963124,-0.0006310349440683707,-0.0005082851536395085,-0.0005171105538943671,-0.00048472125276318915,-0.00045182456173359457,-0.00032907758144182713,-0.000337816218354571,-0.0003055462933755234,-0.00047058822598743366,-0.0003478764443434591,-0.00035664633333694053,-0.00032434311251794575,-0.0004382658328021076,-0.00031550872830323146,-0.0003242829424180597,-0.00029195978542053466,-0.0003706726714000413,-0.00024763481481169803,-0.00025646640820375173,-0.00022381452675711917,-0.0003656814761907913,-0.00024359297921052955,-0.00025247616496330903,-0.00022021601591651853,-0.0004385331271303921,-0.00025191456614201944,-0.0002651872377180546,-0.000216090282180555,-0.0008067104903225137,-0.0006201293883434911,-0.0006334842750887102,-0.0005843459174212912,-0.0004601736024302628,-0.0002734999373958853,-0.0002868493173429292,-0.00023769335866881825,-0.0006315638987586854,-0.000444841563942899,-0.00045820027556802995,-0.00040902500363811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,0.00823264361282261,-1.4402830966764313e-07,-0.11517843959379115,-0.08593485065237434,-0.0897395480975739,1.1999216460445439e-06,0.044830436788246164,0.052502849806795114,0.006828519125683746,2.0015625268321457e-09,-0.00043179411881744123,-0.001997944293003189,0.008158829304602294,3.9101287763188e-09,0.00159141885002545,-0.0008115314375299644,-0.0304430459159815,-1.731538593174875e-06,-0.046177406984234226,-0.02706309897326535,-0.03504662227902664,-0.0749395726772489,-0.01443856313336607,-0.039465851810048365,-0.015966771776448174,-0.015968242439754476,-0.01596836902974652,-0.015968660616626863,-0.01140383026302666,-0.011405440010293033,-0.011405349652467534,-0.011405737026090306,-0.013422451956419945,-0.013424369314510243,-0.01342424749815696,-0.01342474145684095,-0.007893835509961006,-0.007895483912850387,-0.007894674763763598,-0.00789520010125154,-0.009016323994481573,-0.009017402776880179,-0.009017038181431625,-0.009017190144214994,-0.008097812235562829,-0.00809871209159535,-0.008098597054313261,-0.008098824251296207,-0.008208033002840814,-0.008208838712034705,-0.008208836044600876,-0.008209040927251346,-0.009190664851006919,-0.009191785697149957,-0.009191708586747227,-0.009192020335532635,-0.010678896302097896,-0.01068026794881699,-0.01068016386416104,-0.01068055085434126,-0.008043583738548327,-0.00804519228963324,-0.008045091124975423,-0.008045567469248028,-0.007208500819381458,-0.007209359294330503,-0.007209222056101083,-0.007209465212802376,-0.007738553136130755,-0.007739455053224709,-0.007739366544738613,-0.007739565966926436,-0.006421179835909729,-0.006421990707949465,-0.006421819140499552,-0.006422025223410563,-0.005966570219964162,-0.005967296119156945,-0.005967228029611138,-0.0059673372759517975,-0.005112984511935509,-0.0051138995318111,-0.005113573580324493,-0.00511394750561076,-0.005322720691230548,-0.0053236026244971035,-0.005323538008527362,-0.005323767087214212,-0.008199954664810796,-0.0082011350144513,-0.008201015050573912,-0.008201310867562952,-0.008440709870233598,-0.008441627131516444,-0.008441664071205501,-0.008441853542650956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,0.00824291752993217,-1.9021139996411307e-07,-0.11528026017916959,-0.08601352552846177,-0.0897395480975739,1.1999216460445439e-06,0.044830436788246164,0.052502849806795114,0.006828519026510882,1.9496996239709574e-09,-0.00043179396207637666,-0.001997944135080453,0.008158829304602294,3.9101287763188e-09,0.00159141885002545,-0.0008115314375299644,-0.031824777310189234,1.9375083833705897e-06,-0.04832941502783594,-0.028324362073749648,-0.03505521592755919,-0.07492853232175747,-0.014457644453371984,-0.03947278115841889,-0.01594085670839457,-0.015942325310424776,-0.01594245050875731,-0.0159427422037033,-0.011404963436493692,-0.011406573343060833,-0.011406482981107358,-0.011406870380426736,-0.012637570431344558,-0.012639374181419805,-0.012639261188559736,-0.01263972594681566,-0.007893835509961006,-0.007895483912850387,-0.007894674763763598,-0.00789520010125154,-0.009016323994481573,-0.009017402776880179,-0.009017038181431625,-0.009017190144214994,-0.008097812235562829,-0.00809871209159535,-0.008098597054313261,-0.008098824251296207,-0.008208033002840814,-0.008208838712034705,-0.008208836044600876,-0.008209040927251346,-0.009172938757155913,-0.009174057451493245,-0.009173980488199618,-0.009174291628989112,-0.009814307052804255,-0.0098155636523376,-0.009815469488071882,-0.009815824029349704,-0.006651802500169723,-0.006653131001998047,-0.006653048945551299,-0.006653441492810466,-0.006756378618266556,-0.006757184144573242,-0.006757055032891146,-0.006757281481746721,-0.00632801493179741,-0.0063287467119082785,-0.006328680387156949,-0.006328839645202733,-0.005399696137801557,-0.005400375616820691,-0.005400234301551898,-0.005400405663767009,-0.005023702433853805,-0.005024311011976174,-0.005024254988882704,-0.0050243477518497,-0.004213370650548623,-0.004214122660965061,-0.004213852395792417,-0.004214162346149823,-0.005322720691230548,-0.0053236026244971035,-0.005323538008527362,-0.005323767087214212,-0.006533595572840675,-0.006534540263834182,-0.006534415661453741,-0.006534660857124518,-0.008440709870233598,-0.008441627131516444,-0.008441664071205501,-0.008441853542650956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,4.521092098475066e-07,4.777289674962049e-13,6.16247912255119e-07,3.5105626154196393e-07,6.718422129736723e-08,-2.7977620220553945e-14,9.452721094760363e-08,5.433312660793023e-08,0.005486945023552403,-3.0940243700428027e-09,0.008344904421232258,0.004893535438486962,0.007221007631901588,-7.941975743719354e-09,0.010982220321133163,0.006440061560712793,0.014718068833762477,-6.868260515879854e-08,0.022337575128718257,0.013091269889805777,4.878682235975873e-09,3.513983992675662e-09,5.585617302017454e-09,4.728560033392396e-09,0.04753745345560567,0.04754192837878701,0.04754181421407022,0.047542937512621425,0.021231282715665878,0.020999159751019292,0.02102059057637362,0.020960477418184114,-0.07843146761022401,-0.07844624512223652,-0.07844502662937103,-0.0784480218770204,-0.039014729163512896,-0.03902277515744301,-0.03901890210125014,-0.03902147064758598,-0.05721483914923087,-0.05722233728172221,-0.057219918264762804,-0.05722085354663747,-0.04860298537207863,-0.04860890862412681,-0.04860829505168329,-0.048609451592620694,-0.06909719500306555,-0.06910551729249192,-0.0691055407326493,-0.06910755888858777,-0.06887467625301469,-0.06888397509658484,-0.06888346582954163,-0.06888596655817368,-0.02625051409541812,-0.026254113267189405,-0.026253718457245778,-0.026254653173633555,-0.021771391291743214,-0.021775716824276814,-0.021775445729816933,-0.021776722128806592,-0.018990948481798275,-0.018993005505922977,-0.01899258418288019,-0.018993205934585956,-0.01794781495790787,-0.01794977970939493,-0.017949612294728023,-0.01795002631081712,-0.014187516101981323,-0.014189264634040577,-0.014188929415231755,-0.014189347496956446,-0.012371234559852562,-0.012372729869560284,-0.012372610481558688,-0.012372842201134514,-0.008784118658805407,-0.008785720035030864,-0.008785171006265191,-0.008785818674409366,-0.02025538171999597,-0.02025874667137173,-0.020258491806931733,-0.020259360305704566,-0.033365957578949695,-0.03337144553251281,-0.03337719136463857,-0.033381081674009244,0.03469004063417236,0.03469380131528599,0.03469362164659051,0.034694646140745605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
