line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,118.96,56.04,175.0,175.0,68.0,100.0,True
A1,2020-07-15 01:00:00,166.29,8.71,175.0,175.0,95.0,100.0,True
A1,2020-07-15 02:00:00,174.86,0.14,175.0,175.0,99.9,100.0,True
A1,2020-07-15 03:00:00,174.79,0.21,175.0,175.0,99.9,100.0,True
A1,2020-07-15 04:00:00,142.64,22.2,164.85,175.0,81.5,94.2,False
A1,2020-07-15 05:00:00,102.33,0.0,102.33,175.0,58.5,58.5,False
A1,2020-07-15 06:00:00,120.64,0.0,120.64,175.0,68.9,68.9,False
A1,2020-07-15 07:00:00,109.31,56.82,166.12,175.0,62.5,94.9,False
A1,2020-07-15 08:00:00,131.59,34.95,166.54,175.0,75.2,95.2,False
A1,2020-07-15 09:00:00,152.22,19.34,171.56,175.0,87.0,98.0,False
A1,2020-07-15 10:00:00,156.34,18.66,175.0,175.0,89.3,100.0,True
A1,2020-07-15 11:00:00,160.78,14.22,175.0,175.0,91.9,100.0,True
A1,2020-07-15 12:00:00,134.86,40.14,175.0,175.0,77.1,100.0,True
A1,2020-07-15 13:00:00,128.21,46.79,175.0,175.0,73.3,100.0,True
A1,2020-07-15 14:00:00,166.94,8.06,175.0,175.0,95.4,100.0,True
A1,2020-07-15 15:00:00,167.83,7.17,175.0,175.0,95.9,100.0,True
A1,2020-07-15 16:00:00,166.45,8.55,175.0,175.0,95.1,100.0,True
A1,2020-07-15 17:00:00,167.51,7.49,175.0,175.0,95.7,100.0,True
A1,2020-07-15 18:00:00,169.45,5.55,175.0,175.0,96.8,100.0,True
A1,2020-07-15 19:00:00,169.15,5.85,175.0,175.0,96.7,100.0,True
A1,2020-07-15 20:00:00,164.27,9.07,173.34,175.0,93.9,99.1,False
A1,2020-07-15 21:00:00,145.78,21.34,167.12,175.0,83.3,95.5,False
A1,2020-07-15 22:00:00,155.19,8.41,163.6,175.0,88.7,93.5,False
A1,2020-07-15 23:00:00,139.48,0.0,139.48,175.0,79.7,79.7,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,93.84,0.0,93.84,175.0,53.6,53.6,False
A1,2020-07-16 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 06:00:00,158.34,0.0,158.34,175.0,90.5,90.5,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
