time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,0.002460128712463678,1.3625178897443659e-06,0.00335981196072387,0.002255388964822185,0.00028071622081920925,-2.192433431971458e-06,0.00038657170238101543,0.00024690482300185514,2.609947040258539e-05,6.006957209579013e-08,3.986268821723156e-05,2.3258362991088095e-05,6.370230607751123e-05,-5.599456976847139e-07,9.755354222627788e-05,5.5805068972009465e-05,0.00029143925216627836,-4.467609008330439e-06,0.0004716988584462262,0.00025825286611098197,-0.0036232975558000563,-0.0012186819536528907,0.005752150835874402,-0.0018514893606022857,-0.004013986018654081,-0.009694294944225235,0.07146700147508667,0.005736832971771576,-0.018614014826025135,-0.005895911213177967,0.04114269930995385,-0.006890442337142122,-0.01431848238984428,-0.0037190400476607554,-0.01862309109966149,-0.011986965040302713,0.014073058718313231,-0.019443624934772297,0.10853508874477298,0.004240925603893878,-0.016321732092086615,0.028974589057449887,-0.1749866366928463,0.009944544203333676,0.0073005182601157785,-0.028903626480621086,0.07272129574866983,0.0301311587617713,0.014832969713712865,-0.013291662927364944,-0.013647649178476783,-0.02056035755055238,-0.017423897558465587,0.07344692334395067,-0.029488277835524074,-0.05325334443448032,-0.03683947932322672,-0.011978583957320037,0.25211901955167615,-0.02173291942417145,-0.006411384316707494,-0.018622461178801106,0.031541121140535054,-0.011183354101483009,0.024768559587850177,0.01676411294621135,0.08824185473633755,-0.03306637153183496,-0.019277111657184657,0.023493950602937557,-0.14311565953028899,-0.021982462090287525,-0.019152577614031874,0.027616268261871545,-0.26886661816756996,-0.0038604713353053376,-0.013411659959068666,-0.017305775611609012,0.016067085718944912,0.03142601819349907,0.005425825307714871,0.0011318805838311172,-0.03895042742966888,8.495895436415665e-05,-0.029085789174361963,0.0011675051883002678,0.03112043200549873,0.0019925328911750487,0.020451975429957487,0.005456877898673976,-0.015048253214109264,-0.0022698576021624164,0.0001928950592849088,0.0013228582475317413,-0.05053618336256238,-0.00011979858544122953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,0.0017348464358245405,-1.737735772603685e-05,0.0023982036861096663,0.001553262060217901,0.00018834861556411267,-8.705435150286039e-06,0.0002523086858260705,0.0001824098456328301,1.4384422020866602e-05,-6.992880882836906e-08,2.16573921314777e-05,1.2914377512457002e-05,9.03557917751647e-05,-3.2044334129934814e-08,0.00013989422301653742,8.083744025362052e-05,0.000180386123345408,-1.523748317457857e-07,0.00027215206852709557,0.0001615573132098337,-0.001245246540797232,-0.003275685687732442,-0.010216391803009393,-0.002573252618993395,-5.7842151180815485e-05,0.00599260501290504,-0.07518797334204375,-0.009369350689893776,0.008221265821049234,-0.004122958914509185,-0.051104073944435176,-0.0030503856507339564,0.009775791141744003,-0.0004502593745764215,0.014421384999087579,0.00788797010079456,-0.019772843540456986,0.01413990429233707,-0.11401591922593941,-0.009496695479067438,0.00904407391235188,-0.03587542630081571,0.16804356769755335,-0.016774873584228567,-0.014608292362504587,0.021850506718048363,-0.07982070858778602,-0.037144057990005065,-0.02055285744578494,0.007819933555235692,0.008131253563751727,0.01514176025028045,0.012239153416172197,-0.07838887735182712,0.024547832889937754,0.048357230022873836,0.03351290799505455,0.008897708492215571,-0.25522150252383013,0.018698148664659575,0.004937450540943516,0.01752160554878973,-0.03266873589494542,0.010153518142043051,-0.02640128319720873,-0.018151583491406713,-0.08964690456759467,0.03172588021188478,0.01755696942220251,-0.02496913667094253,0.14161977668345788,0.02055383384583056,0.017176025124782158,-0.029346373214000417,0.26713492023795404,0.0021790338182493766,0.010295297316169365,0.014444614755935007,-0.01897246065746852,-0.03424657115693734,-0.007638751343227746,-0.0029728872415440907,0.03712227957929738,-0.0018563355982546626,0.02424736308142863,-0.005595075352184013,-0.035681331301197536,-0.006367661777010165,-0.023917243711386666,-0.008554589943763022,0.011914371559248094,-0.0007667036514031183,-0.001969911609386865,-0.002723800530483378,0.04910113348291856,-0.001215034652577767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007621417260811298,-0.007641555800213282,-0.007623721094021485,-0.007616853706726123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006941954344371219,-0.006920018207725781,-0.006981685419815781,-0.006924857857935571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.06297396904802677,-0.00016496514821875974,-0.09482752222591384,-0.05602097149610367,-0.04601574586266399,-1.3301063652992884e-05,-0.07003980569688473,-0.0409439670244299,-0.02837327374019072,-0.005127497975119466,0.1057963531065782,0.008608348189017833,-0.025336263365831894,0.002921431702365973,-0.06238736430239045,-0.004198010798300945,-0.019912099752138743,-1.522410935023144e-05,-0.030145711856863433,-0.017722850864105723,-0.03651645371652626,-0.03652115242022918,-0.036431831058833755,-0.03648820863322579,-0.0354446816810329,-0.03552173833463462,-0.03542848724307501,-0.03550879311351814,-0.02542302513813882,-0.025430169081076648,-0.025363476987446676,-0.025411272804403962,-0.02368139030315211,-0.023656560004174265,-0.023922938945589278,-0.023696056875611944,-0.016067358226375797,-0.016068546680522988,-0.016058665111547743,-0.0160742542765228,-0.028050967367202542,-0.02805604565894476,-0.02806373571678722,-0.028057815197223713,-0.025145330812594804,-0.025149387540072676,-0.025128943904498602,-0.025149238090730566,-0.02683984548041253,-0.026819072946403455,-0.026856924789286918,-0.026837570484432437,-0.02011732044734088,-0.02011936253371538,-0.020120259096847226,-0.020120816287214786,-0.016111355443862274,-0.016112447374057648,-0.01611496552131364,-0.01611401288905944,-0.010821540140151381,-0.010824876889955953,-0.010824852582548394,-0.010825507056867188,-0.010748598216148791,-0.010750698260675845,-0.010751111490985954,-0.010751049104530827,-0.015418074425446364,-0.015417980014212712,-0.015424489023541987,-0.015405854583275213,-0.013638155259257545,-0.013644004717623809,-0.013676073797317834,-0.013650708795913985,-0.013461998151168303,-0.013468094945990938,-0.013459353819693431,-0.01346005101714853,-0.008291389953342554,-0.00828767666045517,-0.008304233141901374,-0.00829397915857712,-0.011475207289679962,-0.011492115989231513,-0.011421714767432978,-0.011454487504283196,-0.01269386542244133,-0.012718013068332507,-0.012580264412844877,-0.012696959670880444,-0.022277797817152417,-0.022281224974417105,-0.022288234752729674,-0.022286066413912068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.06260936784389182,-0.00015830738568856084,-0.09445811644249646,-0.055794502821159817,-0.04223149177924848,-2.620166353939357e-06,-0.06420470229643538,-0.037584945214266086,-0.01328981964719117,0.005351158513919985,-0.1261436220952754,-0.013684948655637606,-0.023401274117315234,-0.002915414213573775,0.03439661618118506,-0.00628554414151418,-0.01802826654792483,-5.215489398249784e-05,-0.02707335465913563,-0.015968434428227634,-0.039370035315331176,-0.03940569962621166,-0.03929116795930142,-0.03939956095482241,-0.037206596150287014,-0.03725832119403805,-0.03724218516519029,-0.03716234224048003,-0.034813688947555585,-0.03482164160207485,-0.03479173910471278,-0.034776119378969524,-0.03280702819187828,-0.03281205011914995,-0.0327523407594692,-0.03282667249962775,-0.018883672638118673,-0.018888128915846403,-0.018849013460253916,-0.018891648641567397,-0.024024091838137474,-0.02402994638553585,-0.02403072701183029,-0.024030311147687063,-0.021097813464079143,-0.021090549174413997,-0.021115910033319363,-0.021104880864727164,-0.023974873835889518,-0.02397919636785767,-0.024003964437034897,-0.023977762969618323,-0.021715126923768563,-0.021718370958782596,-0.021709359959241947,-0.021720300296201697,-0.017032989222596592,-0.01703457106153916,-0.01703033792539077,-0.01703622595713496,-0.011992180095182381,-0.011995885678851986,-0.011995970193578676,-0.011996550165729042,-0.011712782215402923,-0.0117152080398156,-0.011714680854054915,-0.011715776373821284,-0.01847539480710332,-0.018486557411097088,-0.01863809531630134,-0.018517824432136076,-0.012761389256183864,-0.012763887896699355,-0.012772025939186915,-0.012765884761376897,-0.012937129971024891,-0.012945339795973926,-0.012927438879579145,-0.0129454066249364,-0.008455555211738658,-0.008452276053504515,-0.008442467329691727,-0.00845231128935258,-0.010660894560617168,-0.010666042344257415,-0.010761841665981986,-0.010669727127449345,-0.011200859604511892,-0.011191165270375114,-0.011218627635887213,-0.011185091941477578,-0.020851233440636524,-0.020859575037663336,-0.020872822788017387,-0.020852179008052814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,0.03959535315167617,-1.6645010657567738e-06,0.06006557297138748,0.035204398760224034,0.017193957531342896,-1.3590940228791482e-06,0.026092561379192247,0.01529429862939996,0.008685510709054656,3.2396598819151023e-06,0.013178935973875205,0.0077313426244199155,0.02160044378254904,8.81848801759233e-07,0.03279970049846881,0.019232471397067966,0.020040157127878377,-2.961302294490764e-07,0.03041445354414174,0.01782465392308858,0.02632788290144117,0.026330397022375385,0.026332983453631442,0.02633095073707826,0.13723888669470674,0.13716331367692924,0.13759645632911255,0.13734004470133163,-0.160979971960791,-0.16100634099450462,-0.1608720018768386,-0.16100869169488236,-0.04559322272792876,-0.04566407581125631,-0.045264025902183924,-0.04557691656989237,-0.03485545115018207,-0.03485579966978869,-0.034847728445467574,-0.03486901458101474,-0.043248271922473824,-0.043259419228449,-0.04325922804602822,-0.043258820659338934,-0.0902425215535449,-0.09026531248006808,-0.09023941880801534,-0.09025420915329252,-0.12486057186742722,-0.12488226020446991,-0.12488183167143152,-0.1249059688440817,-0.16898226694280338,-0.16900704972865555,-0.1690349413072081,-0.16902249606591105,-0.06672249488651338,-0.06673260975824391,-0.06673423498150788,-0.0667341037789484,-0.04260909275597613,-0.0426224331109748,-0.04262140567701467,-0.0426248992715039,-0.02613564592555495,-0.026140661423551204,-0.02614040206215984,-0.02614149702360839,-0.03559280290676974,-0.03558257942148957,-0.03555883128280701,-0.03558032190473497,-0.0217742468758213,-0.02175964030008193,-0.021762649555559843,-0.02177263379612051,-0.01783486857904093,-0.017846842070264102,-0.017837848316493154,-0.017843312735235598,-0.026908946625689323,-0.026900208270232928,-0.026971211053866906,-0.026898743470054186,-0.03390711029443971,-0.0340782433030849,-0.03408660287697751,-0.03399810403104832,-0.042007525578509064,-0.04198094694909271,-0.04190080832876708,-0.04198136312411857,0.09006127998807179,0.09009637334248699,0.09008035869745656,0.09010032379468644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
