line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,82.13,90.89,173.02,175.0,46.9,98.9,False
A1,2020-07-15 01:00:00,133.65,40.89,174.55,175.0,76.4,99.7,True
A1,2020-07-15 02:00:00,163.7,11.26,174.96,175.0,93.5,100.0,True
A1,2020-07-15 03:00:00,159.02,15.27,174.28,175.0,90.9,99.6,True
A1,2020-07-15 04:00:00,135.06,32.36,167.42,175.0,77.2,95.7,False
A1,2020-07-15 05:00:00,106.65,0.0,106.65,175.0,60.9,60.9,False
A1,2020-07-15 06:00:00,114.13,0.0,114.13,175.0,65.2,65.2,False
A1,2020-07-15 07:00:00,42.52,129.74,172.26,175.0,24.3,98.4,False
A1,2020-07-15 08:00:00,134.15,37.64,171.79,175.0,76.7,98.2,False
A1,2020-07-15 09:00:00,103.5,70.08,173.57,175.0,59.1,99.2,False
A1,2020-07-15 10:00:00,95.72,78.49,174.2,175.0,54.7,99.5,True
A1,2020-07-15 11:00:00,94.97,80.03,175.0,175.0,54.3,100.0,True
A1,2020-07-15 12:00:00,113.52,61.48,175.0,175.0,64.9,100.0,True
A1,2020-07-15 13:00:00,125.67,49.33,175.0,175.0,71.8,100.0,True
A1,2020-07-15 14:00:00,142.65,32.35,175.0,175.0,81.5,100.0,True
A1,2020-07-15 15:00:00,141.89,30.25,172.14,175.0,81.1,98.4,False
A1,2020-07-15 16:00:00,155.13,19.87,175.0,175.0,88.6,100.0,True
A1,2020-07-15 17:00:00,156.51,18.49,175.0,175.0,89.4,100.0,True
A1,2020-07-15 18:00:00,146.87,28.13,175.0,175.0,83.9,100.0,True
A1,2020-07-15 19:00:00,113.88,61.12,175.0,175.0,65.1,100.0,True
A1,2020-07-15 20:00:00,127.96,46.27,174.23,175.0,73.1,99.6,True
A1,2020-07-15 21:00:00,88.84,84.68,173.51,175.0,50.8,99.2,False
A1,2020-07-15 22:00:00,98.55,74.04,172.59,175.0,56.3,98.6,False
A1,2020-07-15 23:00:00,136.37,0.0,136.37,175.0,77.9,77.9,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.31,0.0,170.31,175.0,97.3,97.3,False
A1,2020-07-16 22:00:00,139.64,0.0,139.64,175.0,79.8,79.8,False
A2,2020-07-15 00:00:00,33.16,0.0,33.16,175.0,19.0,19.0,False
A2,2020-07-15 01:00:00,74.02,0.0,74.02,175.0,42.3,42.3,False
A2,2020-07-15 02:00:00,102.35,0.0,102.35,175.0,58.5,58.5,False
A2,2020-07-15 03:00:00,105.72,0.0,105.72,175.0,60.4,60.4,False
A2,2020-07-15 04:00:00,89.6,0.0,89.6,175.0,51.2,51.2,False
A2,2020-07-15 05:00:00,62.21,0.0,62.21,175.0,35.5,35.5,False
A2,2020-07-15 06:00:00,64.06,0.0,64.06,175.0,36.6,36.6,False
A2,2020-07-15 07:00:00,24.53,0.0,24.53,175.0,14.0,14.0,False
A2,2020-07-15 08:00:00,80.69,0.0,80.69,175.0,46.1,46.1,False
A2,2020-07-15 09:00:00,53.78,0.0,53.78,175.0,30.7,30.7,False
A2,2020-07-15 10:00:00,37.7,0.0,37.7,175.0,21.5,21.5,False
A2,2020-07-15 11:00:00,41.57,0.0,41.57,175.0,23.8,23.8,False
A2,2020-07-15 12:00:00,46.59,0.0,46.59,175.0,26.6,26.6,False
A2,2020-07-15 13:00:00,51.7,0.0,51.7,175.0,29.5,29.5,False
A2,2020-07-15 14:00:00,60.86,0.0,60.86,175.0,34.8,34.8,False
A2,2020-07-15 15:00:00,74.87,0.0,74.87,175.0,42.8,42.8,False
A2,2020-07-15 16:00:00,66.13,0.0,66.13,175.0,37.8,37.8,False
A2,2020-07-15 17:00:00,63.47,0.0,63.47,175.0,36.3,36.3,False
A2,2020-07-15 18:00:00,62.34,0.0,62.34,175.0,35.6,35.6,False
A2,2020-07-15 19:00:00,40.87,0.0,40.87,175.0,23.4,23.4,False
A2,2020-07-15 20:00:00,59.86,0.0,59.86,175.0,34.2,34.2,False
A2,2020-07-15 21:00:00,47.26,0.0,47.26,175.0,27.0,27.0,False
A2,2020-07-15 22:00:00,59.92,0.0,59.92,175.0,34.2,34.2,False
A2,2020-07-15 23:00:00,70.65,0.0,70.65,175.0,40.4,40.4,False
A2,2020-07-16 00:00:00,88.88,0.0,88.88,175.0,50.8,50.8,False
A2,2020-07-16 02:00:00,63.32,0.0,63.32,175.0,36.2,36.2,False
A2,2020-07-16 04:00:00,97.4,0.0,97.4,175.0,55.7,55.7,False
A2,2020-07-16 06:00:00,99.02,0.0,99.02,175.0,56.6,56.6,False
A2,2020-07-16 08:00:00,92.95,0.0,92.95,175.0,53.1,53.1,False
A2,2020-07-16 10:00:00,101.23,0.0,101.23,175.0,57.8,57.8,False
A2,2020-07-16 12:00:00,88.1,0.0,88.1,175.0,50.3,50.3,False
A2,2020-07-16 14:00:00,79.01,0.0,79.01,175.0,45.2,45.2,False
A2,2020-07-16 16:00:00,81.6,0.0,81.6,175.0,46.6,46.6,False
A2,2020-07-16 18:00:00,85.56,0.0,85.56,175.0,48.9,48.9,False
A2,2020-07-16 20:00:00,87.37,0.0,87.37,175.0,49.9,49.9,False
A2,2020-07-16 22:00:00,66.51,0.0,66.51,175.0,38.0,38.0,False
A3,2020-07-15 00:00:00,99.79,0.0,99.79,175.0,57.0,57.0,False
A3,2020-07-15 01:00:00,145.05,0.0,145.05,175.0,82.9,82.9,False
A3,2020-07-15 02:00:00,173.09,1.91,175.0,175.0,98.9,100.0,True
A3,2020-07-15 03:00:00,172.75,2.25,175.0,175.0,98.7,100.0,True
A3,2020-07-15 04:00:00,155.41,0.0,155.41,175.0,88.8,88.8,False
A3,2020-07-15 05:00:00,121.29,0.0,121.29,175.0,69.3,69.3,False
A3,2020-07-15 06:00:00,122.23,52.77,175.0,175.0,69.8,100.0,True
A3,2020-07-15 07:00:00,73.67,101.33,175.0,175.0,42.1,100.0,True
A3,2020-07-15 08:00:00,141.1,33.9,175.0,175.0,80.6,100.0,True
A3,2020-07-15 09:00:00,118.74,56.26,175.0,175.0,67.9,100.0,True
A3,2020-07-15 10:00:00,107.37,67.63,175.0,175.0,61.4,100.0,True
A3,2020-07-15 11:00:00,104.5,70.24,174.74,175.0,59.7,99.9,True
A3,2020-07-15 12:00:00,113.54,61.06,174.6,175.0,64.9,99.8,True
A3,2020-07-15 13:00:00,124.37,49.99,174.35,175.0,71.1,99.6,True
A3,2020-07-15 14:00:00,136.61,37.64,174.25,175.0,78.1,99.6,True
A3,2020-07-15 15:00:00,154.48,20.52,175.0,175.0,88.3,100.0,True
A3,2020-07-15 16:00:00,145.13,29.43,174.56,175.0,82.9,99.8,True
A3,2020-07-15 17:00:00,142.58,30.74,173.32,175.0,81.5,99.0,False
A3,2020-07-15 18:00:00,140.49,33.91,174.4,175.0,80.3,99.7,True
A3,2020-07-15 19:00:00,118.03,56.81,174.84,175.0,67.4,99.9,True
