,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_3,-0.7793954537043051,-0.09142001744887546,-0.00925121069035121,-0.022515313884537043,-0.10939598435641076,0.8686130113949599,0.6930314174413346,4.087051722222932,3.142469638525613,-1.279801380456051,0.1762447623500547,-1.436749768405532,-0.16401420845146042,0.5074042051387093,4.952468090063002,5.893293995886656,-1.2003507923490542,7.448281247843437,8.419816817852626,-1.8385396080892593,1.1899493964416146,-0.8809972657268115,-1.3120517409236865,0.7508584571613883,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_4,-0.5432717092856384,-0.06347510360834574,-0.005104695178556313,-0.0322844932608012,-0.06824942657416991,1.1544285924977788,1.2022378333150003,0.29252379026655306,-1.7759443583592853,3.664197880474594,2.69485373694007,4.423517316906618,2.5861732261548798,1.4347404392496168,-3.61119951813871,-5.127519554721788,2.1529322773528703,-6.413475178014056,-7.11606086678238,4.173281722973523,0.567620771263462,3.6087981977352475,3.6912243641097886,0.3529473222501385,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.016352255457836,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.559679138904934,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_3,19.770503465194665,15.129870382144318,4.061763275576151,6.087384731607708,7.516411920903955,16.160526022477274,17.703256906593204,10.980189884071095,7.543782341846601,7.064530240796582,11.44111295091299,10.477851767649305,11.6163688334929,7.7201333636099445,6.840717999410023,7.120027493804608,7.192109293637161,10.648613535575127,10.185059357771685,10.892437029989308,7.738735258920875,7.0841201728107634,9.849835008232413,18.052786852309012,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_4,19.673348441257005,13.885774381974285,5.391192740052134,5.57851226096319,6.7918641685035475,17.437642423015024,18.56351499345915,15.034400032234146,10.451439880155714,8.302846233547296,9.798856187029102,8.790648063117168,10.379381216306289,8.33342836705959,7.232017250966854,7.89025106252505,7.837354006764377,12.784794192513871,9.526068954143733,10.47100576851217,7.889112389368109,6.586192753708977,8.672696309448558,16.89758346488607,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
107_CC_1,-12.428389552197281,-5.651690840563795,-3.0756081435680986,-7.697556246442094,-7.560534015610668,-11.65543967769052,-68.45935618433707,69.5377525396318,14.526884038657625,15.324995387416937,17.639951442224895,37.60451684188676,54.057116960027386,64.84968284587563,28.330475321299883,28.03468242043376,17.487806356830387,24.581851317907667,16.243772399338393,14.435469677958274,25.11402837169783,21.01547879226268,32.54081269700866,-72.99287603907496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
113_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
