line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 01:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 03:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 05:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 06:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 07:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 08:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 09:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 11:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 13:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 15:00:00,173.4,0.0,173.4,175.0,99.1,99.1,False
A1,2020-07-15 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 17:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 19:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 20:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 21:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 22:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 23:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,93.83,0.0,93.83,175.0,53.6,53.6,False
A1,2020-07-16 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 06:00:00,158.31,0.0,158.31,175.0,90.5,90.5,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
