gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.025982747763503542,0.025982747763503542,0.012991374782731576,-0.0064951100239822234,-0.006493768106197526,-0.006499787953901336,-0.006494081679422458
101_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.02598274775957703,0.02598274775957703,0.012991374780768318,-0.006495110023000524,-0.006493768105216118,-0.006499787952918879,-0.0064940816784415075
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.14227559883177976,0.14227559883177976,0.0711378176399808,-0.035553043927779776,-0.03554166503965711,-0.035608765924020735,-0.03557212394032215
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.14503127133616778,0.14503127133616778,0.07251565375395089,-0.03624191907126084,-0.03623051613768541,-0.036298015422217667,-0.03626082070500385
107_CC_1,THERMAL,2020-07-15 00:00:00,1.0188044632152322,1.0188044632152322,0.509402235909949,0.2546868967953513,0.2546569413602777,0.2547465109354814,0.2547141141241218
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,2.5423277447877077e-06,2.5423277447877077e-06,1.2711639316367269e-06,6.35625626577152e-07,6.358776423187606e-07,6.353694077532168e-07,6.35455068138578e-07
116_STEAM_1,THERMAL,2020-07-15 00:00:00,4.701310582036371e-06,4.701310582036371e-06,2.3506555111144412e-06,1.1755192316220686e-06,1.1760282938033662e-06,1.174647983326338e-06,1.175115073284598e-06
118_CC_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122_WIND_1,WIND,2020-07-15 00:00:00,-0.6299812503728824,1.81492975349925,0.9214978251380086,0.5924742515631838,-0.4075868029652554,-0.4073973623501743,-0.4074713366206365
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
