time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0064951100239822234,-0.006493768106197526,-0.006499787953901336,-0.006494081679422458,-0.0020222921648262522,-0.0020223297464755674,-0.002022591592875005,-0.002022243058747051,-0.0003290118618341838,-0.0003290147118394573,-0.00032903027207881533,-0.00032901997157724113,-0.0004489983090236752,-0.00044900008465552523,-0.0004490076806956492,-0.0004489989102262899,-0.0012933103433376463,-0.0012933449927653676,-0.0012934288682108336,-0.0012933323325076639,-0.0058674271342648646,-0.0058737796849636726,-0.005858347898847876,-0.005861232738130078,-0.010288938887438537,-0.01028996218409256,-0.010288131526561495,-0.010288358520075475,-0.019031674795357962,-0.019032760257430014,-0.01904102621191779,-0.019031915526641976,-0.0328999368954558,-0.032899854810693574,-0.03289980422206582,-0.03289994301780389,-0.02986488909999055,-0.029864928258791945,-0.02986484644166998,-0.029864912489961808,-0.03806191798709878,-0.03806255566077554,-0.03806565381714755,-0.0380673637770665,-0.04287877246053835,-0.04288030601238385,-0.04287719478469332,-0.04287904059033092,-0.04653695848897217,-0.04654234966864906,-0.04653504682669851,-0.04653803926585325,-0.05666594531652845,-0.05667080889414189,-0.056664701406805795,-0.056667992094006275,-0.05353645743690792,-0.053536233867115646,-0.05353818402636301,-0.053538552819193175,-0.03475578627020119,-0.034755227210050324,-0.03476756488395405,-0.0347593645797252,-0.03392390997824998,-0.03392358476160848,-0.03392757896044851,-0.033925460951434255,-0.030739277038027212,-0.03073753289608172,-0.030741289977173514,-0.03073798472065114,-0.025785165339361316,-0.02578489662422548,-0.02578750160083909,-0.02578528278093007,-0.02206164614633266,-0.022061624895565485,-0.02206139892665615,-0.02206168712380507,-0.01677377180164001,-0.016773781670094592,-0.016774350756589285,-0.01677387107827539,-0.019345534171856027,-0.019345603674692104,-0.019345574066627153,-0.019345598093598402,-0.011135256828000595,-0.011135816593278336,-0.011135650155529642,-0.011136887755546599,-0.007324275589626885,-0.007324761250614639,-0.007324863868199083,-0.007324744403621866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.006495110023000524,-0.006493768105216118,-0.006499787952918879,-0.0064940816784415075,-0.0020222921648508983,-0.002022329746500182,-0.0020225915928997317,-0.002022243058771715,-0.0003290118618342389,-0.0003290147118395071,-0.0003290302720789194,-0.00032901997157730044,-0.00044899830902668666,-0.00044900008465853356,-0.0004490076806986839,-0.0004489989102293233,-0.0012933103433488994,-0.0012933449927766307,-0.0012934288682221345,-0.001293332332518956,-0.005867427134265572,-0.005873779684964295,-0.005858347898848643,-0.005861232738130078,-0.008564715422900437,-0.008566055628006553,-0.008564741974362411,-0.008564930766998569,-0.019031674795355485,-0.01903276025742977,-0.01904102621190322,-0.019031915526641976,-0.03289993689444913,-0.03289985480968716,-0.03289980422106,-0.03289994301681872,-0.029958680279211877,-0.029958718048881172,-0.029958635175105996,-0.029958702837286674,-0.03806191798709878,-0.03806255566077554,-0.03806565381714755,-0.0380673637770665,-0.042878772446615976,-0.04288030599846082,-0.04287719477077201,-0.042879040576378355,-0.04612283232381412,-0.046128200039542544,-0.046120992715216635,-0.0461239123469681,-0.05666594531652845,-0.05667080889414189,-0.056664701406805795,-0.056667992094006275,-0.05353652288211862,-0.05353630079612548,-0.05353825152298275,-0.05353862130906633,-0.034757374448558906,-0.034756825951188716,-0.03476890273766342,-0.03476090985403006,-0.03392390997824998,-0.03392358476160848,-0.03392757896044851,-0.033925460951434255,-0.030711683300089856,-0.030709346279096245,-0.030715065694802868,-0.030710036793865407,-0.025785165339099414,-0.025784896623963716,-0.02578750160057719,-0.025785282780665757,-0.022061645765497295,-0.02206162451468835,-0.022061398546567745,-0.02206168674305702,-0.01677376985699286,-0.016773779725514637,-0.016774348812088502,-0.016773869133704874,-0.01934558878642445,-0.019345658289168614,-0.019345628682073707,-0.01934565270874509,-0.011135256828000595,-0.011135816593278336,-0.011135650155529642,-0.011136887755546599,-0.007324275590676508,-0.007324761251664272,-0.007324863869249132,-0.007324744404673279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004475747408757613,-0.004476764294174415,-0.004475532970283025,-0.004474204285009649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001685004215536627,-0.001685004665739509,-0.001684997243239228,-0.001684850943452652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016850042154841482,-0.001685004665687044,-0.0016849972431865201,-0.0016848509434001736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.035553043927779776,-0.03554166503965711,-0.035608765924020735,-0.03557212394032215,-0.008374687120128649,-0.008359058916659917,-0.008728976266348276,-0.008472390416830192,0.03181908400473313,0.03181423460719107,0.03203868878534433,0.03189769807372079,-0.028454867135967246,-0.028465853787064094,-0.028695277763880478,-0.02853533972258417,-0.023533505019131776,-0.023537217044986347,-0.023567346598642347,-0.02354545326934592,-0.026012095160996666,-0.026015121732627284,-0.02600027319267073,-0.026014662651422476,-0.018397235833223807,-0.018397488671959783,-0.018399059975259036,-0.01839819830372828,-0.012448091109115184,-0.012447598464303267,-0.012451837512157615,-0.012448187426831204,-0.012672685857604865,-0.012672659054218882,-0.012672632750542645,-0.012672686478423114,-0.005509421237675199,-0.00550941847572417,-0.005509460671067501,-0.005509421551635855,-0.021236139402044135,-0.021236191021089312,-0.021236210894923113,-0.021236275479856355,-3.2008144190687204e-09,-3.200699927319306e-09,-3.201043430323125e-09,-3.2002608541851163e-09,-1.7676850261327814e-09,-1.7684376185655992e-09,-1.766326418461972e-09,-1.767117288804683e-09,-1.97105826105215e-09,-1.9710121312854767e-09,-1.9687893537678747e-09,-1.969951298039233e-09,-5.375599965162792e-10,-5.377108203141745e-10,-5.374273248648365e-10,-5.374617377497663e-10,-0.009751358403946586,-0.009751368656409243,-0.009751079957226905,-0.009751284865965973,-2.1551727069635263e-10,-2.1531366967142418e-10,-2.1547830186818828e-10,-2.1494183650762902e-10,-1.1133926468417326e-09,-1.113058478718898e-09,-1.1122983645250883e-09,-1.1122700443743558e-09,-1.8480750818561376e-09,-1.8477977203890106e-09,-1.8426399295279339e-09,-1.8470638764456057e-09,-1.7244505823299505e-10,-1.7238940830388572e-10,-1.7252987927207641e-10,-1.724508262164464e-10,-0.00014890058851325938,-0.00014890126310670992,-0.00014890108992904327,-0.00014889938021601668,-0.005167009211605039,-0.005167060354602182,-0.005166987738274398,-0.005166980869937674,-0.006935194435560343,-0.006935246155621577,-0.006935143158550927,-0.006935193456153557,-0.010307250228050124,-0.010307256031097944,-0.010308405446718294,-0.01030815047131105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.03624191907126084,-0.03623051613768541,-0.036298015422217667,-0.03626082070500385,-0.008374687120128649,-0.008359058916659917,-0.008728976266348276,-0.008472390416830192,0.03183736368731874,0.03183236082232305,0.03206225122710982,0.03191796548674686,-0.027835067378243383,-0.027801453094047357,-0.02841126838910224,-0.027949648548383818,-0.023533505019131776,-0.023537217044986347,-0.023567346598642347,-0.02354545326934592,-0.026012095155062427,-0.02601512172669172,-0.02600027318674769,-0.02601466264549292,-0.018404855015580757,-0.018405108539940263,-0.018406681098657396,-0.018405818369690536,-0.012448091109115184,-0.012447598464303267,-0.012451837512157615,-0.012448187426831204,-0.01264118656156904,-0.012641159552795267,-0.012641133872560495,-0.012641187222135612,-0.0055094212354872,-0.005509418473536198,-0.005509460668879251,-0.005509421549448715,-0.02130834586338226,-0.021308397815614222,-0.021308417545487846,-0.021308482398588343,-3.195808756517593e-09,-3.1956596258098102e-09,-3.1960543100950645e-09,-3.195267064447292e-09,-1.7676849983772058e-09,-1.7684375075432968e-09,-1.766326196417367e-09,-1.7671172888044638e-09,-1.9710583443188767e-09,-1.9710121312854767e-09,-1.9687893537678747e-09,-1.969951298039427e-09,-5.375797862416931e-10,-5.377310818843739e-10,-5.374467537677674e-10,-5.374812889387135e-10,-0.0097515922315691,-0.009751602484402017,-0.009751313774210235,-0.009751518690805249,-2.155941258852323e-10,-2.1538984484870127e-10,-2.1555479623458496e-10,-2.1501587529890797e-10,-1.1068803300881074e-09,-1.1065943994470473e-09,-1.1056228155226222e-09,-1.105783832487149e-09,-1.8478936714139138e-09,-1.8475911911508547e-09,-1.8424167746999842e-09,-1.846850712534429e-09,-1.7260434748145315e-10,-1.725898590709818e-10,-1.7275181285469898e-10,-1.7265067119220687e-10,-0.00014890058850770826,-0.0001489012631011588,-0.00014890108992349216,-0.000148899380210451,-0.00516817718095311,-0.005168228352428264,-0.005168155701959276,-0.005168148881315492,-0.006935298013903524,-0.006935349735762375,-0.006935246740602752,-0.006935297037402868,-0.010277328113333484,-0.010277332363970965,-0.010278467883196862,-0.01027822041710169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,0.2546868967953513,0.2546569413602777,0.2547465109354814,0.2547141141241218,0.19920327697229845,0.19920784933732105,0.19921840097247667,0.19924852126078305,0.11666847521078194,0.11666884146103218,0.1166602851271552,0.11666648525488153,0.20347492393332772,0.20347421321479553,0.20348901662208974,0.20347969889886966,0.16552236798851827,0.16552305154414804,0.1655282729278671,0.16552542292094893,0.2089548775495652,0.20895161175575172,0.20896170735321107,0.20895698245275837,0.18544329098985735,0.18544300771953393,0.18544351439567297,0.1854431479892659,-1.2916987335298558e-07,-1.3011015531638748e-07,-1.311263613246183e-07,-1.293587381619306e-07,-7.127515055938005e-08,-7.123732381764114e-08,-7.133217483357157e-08,-7.128449618578055e-08,-4.581772161671438e-08,-4.5841404450186474e-08,-4.5846110019454045e-08,-4.579696537651638e-08,-8.894584957452878e-09,-8.903418668992913e-09,-8.886948066333389e-09,-8.886708999134796e-09,-6.625866388887403e-08,-6.629019311255036e-08,-6.62603216738944e-08,-6.625962939678364e-08,-0.04353954447112973,-0.0435451604515249,-0.04354028742470639,-0.043545023026493636,-0.04364350684417184,-0.043643550119199404,-0.043643140658765844,-0.04364336776436641,-0.025685787161374152,-0.025685722105146525,-0.02568559187662922,-0.025685816414975124,-0.028696229329668754,-0.028696251375933346,-0.02869545360496062,-0.02869598240587393,-0.02642673389412864,-0.02642723898054339,-0.026427444521954335,-0.02642856053454075,-0.007105956755719567,-0.007105916064535811,-0.007106083496986049,-0.007106023359148432,-4.923991170358022e-08,-4.9235943100356394e-08,-4.925648777742708e-08,-4.921880818519416e-08,-4.557508148650413e-09,-4.557137667227096e-09,-4.561384603363194e-09,-4.557346570837496e-09,-2.8965985554574303e-08,-2.897023110293162e-08,-2.897666284695788e-08,-2.8965412703104448e-08,-3.8778989575050105e-08,-3.877418769393515e-08,-3.874738574438652e-08,-3.875322652007635e-08,-3.897326239510335e-08,-3.8977517324845223e-08,-3.901508138781651e-08,-3.898481318970269e-08,0.11417548600759031,0.11417616968423061,0.11417904485806307,0.11417800472794236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
