,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_3,2.358251040328276,0.79346297028304,0.1423805725756956,0.20397221550341568,0.7227508138407994,2.59736056809217,5.132274925041203,8.220679042877668,10.479615124130998,13.129495916344926,15.52288689381147,17.86623948137717,20.145988292091197,21.74512241239459,22.729550727341056,22.863052687763428,22.695876509649246,21.23555765581396,19.242876743750276,17.848126308513677,15.656514177852582,11.9421548668685,8.6322127181051,5.934121354608266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_4,2.358251039971938,0.7934629702927121,0.14238057257572012,0.20397221550478722,0.7227508138470988,2.597360568092362,4.272405209280548,8.220679042877038,10.479615123811886,13.170728917878954,15.52288689381147,17.86623947557341,19.966715635458733,21.74512241239459,22.72957909879579,22.86407580932007,22.695876509649246,21.216295023149293,19.242876743554234,17.848126000465044,15.65651236280101,11.942188580885684,8.6322127181051,5.9341213554591805,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8252709900440796,-0.0,-0.0,-0.0,-0.0,1.1083245762625542,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1083245762280256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_3,12.912755182499279,3.3028550543919204,-13.783089720486698,12.942679183610512,13.154841889355604,11.515532393405719,9.176820844610512,5.376689862364385,4.036630390872025,2.42210465325916,8.660450537801918,1.3336030874075369e-06,7.652335029877019e-07,7.562505832866807e-07,2.2823257047325846e-07,6.414220093038326,1.4398105052489061e-07,7.687555868679509e-07,1.378522295236717e-06,1.3949640671572835e-07,0.13898220006903744,3.189636963726809,5.375773144739135,8.350665995995382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_4,13.162864644594446,3.3028550543919204,-13.791336803152783,12.66605172977998,13.154841889355604,11.515532390779398,9.180621603847841,5.376689862364385,4.02659689322073,2.4221046522973517,8.689897552718907,1.331514588466737e-06,7.65233482966238e-07,7.562506001504102e-07,2.282410041013515e-07,6.414373899056464,1.440315405924695e-07,7.642699021444651e-07,1.3783681124926265e-06,1.3965499824022864e-07,0.13898220006385273,3.1903579782327762,5.375853434352503,8.326421125838534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
107_CC_1,-92.48238109121688,-78.16663171055097,-50.487624070093275,-92.43584651811575,-92.49948254422267,-92.49754972186331,-92.4998009690831,5.598620489016213e-05,2.2699908692913545e-05,2.0144801895313107e-05,3.6277122099285283e-06,2.7611384714728225e-05,18.848860727665734,16.74737524396203,10.905088537885533,18.875715191304153,17.680350977284856,4.909176895563978,3.674049134037967e-05,3.6871215097331805e-06,2.7039156652578e-05,2.393029210074435e-05,3.0215927165687864e-05,-92.49976458165699,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
113_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
