gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.011544869789545224,0.011544869789545224,0.006903309609391917,-0.0030163136891799554,-3.0399666782265434e-08,-0.005310604089364256,-0.0032179216113342297
101_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.01170676582913227,0.01170682121295524,0.007000953507432281,-0.003060713196897297,2.769191148450597e-08,-0.005387942094883004,-0.0032581382292634535
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.19288079066165253,0.20934607788729775,0.14393973712906027,0.00823264361282261,-1.4402830966764313e-07,-0.11517843959379115,-0.08593485065237434
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.19305105838909914,0.20953689344896348,0.1440687705585559,0.00824291752993217,-1.9021139996411307e-07,-0.11528026017916959,-0.08601352552846177
107_CC_1,THERMAL,2020-07-15 00:00:00,1.4194138613735569e-06,1.4194138613735569e-06,8.410735554966508e-07,4.521092098475066e-07,4.777289674962049e-13,6.16247912255119e-07,3.5105626154196393e-07
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,2.0572330440089925e-06,2.0572330440089925e-06,1.218826349291787e-06,6.755974290006961e-07,1.3772316620475067e-13,8.840112784014309e-07,4.976241988836994e-07
116_STEAM_1,THERMAL,2020-07-15 00:00:00,3.536328369360167e-05,3.5363299636848394e-05,2.0955804896368118e-05,1.1927868216132786e-05,-7.971623361413549e-12,1.505404073665062e-05,8.38138271244163e-06
118_CC_1,THERMAL,2020-07-15 00:00:00,2.8856729005859664e-07,2.88567450596846e-07,1.7097399511120483e-07,9.290932734273838e-08,-8.026912468039882e-14,1.2483762201753734e-07,7.082042096744561e-08
122_WIND_1,WIND,2020-07-15 00:00:00,0.9999998329844406,1.0000000624148206,0.99999994769954,0.9999999476995365,9.414691248821327e-14,-7.291631476391558e-08,-4.1798875194949496e-08
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
