,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_3,1.0402181040364278,0.23549926824828898,-0.004698861520297207,-0.007235308474237154,-0.07138410302327622,1.1575862835484054,0.6888657475009483,0.9158174120893843,0.6086336994357692,0.3899653600777817,0.4477994076092755,0.3340775795632439,0.7350885212370448,0.8387756970046131,0.2329607356679113,0.2293584725781381,0.24481802194571312,0.22568141495496474,0.18793874347172473,0.2109058665922682,0.25574812596795565,0.37694394020589145,0.19908704430265817,0.3437472293829437,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_4,1.0543724672437957,0.23549926824856887,-0.0046988333259433985,-0.007235308473839838,-0.07138410302393484,1.15470331205267,0.6888657475009483,0.9321712804158802,0.6093736392314122,0.416885700938493,0.37481332044669036,0.3194923637835578,0.7500281229937913,0.8424863719819715,0.23231549856099176,0.23012124052747884,0.24490821094823267,0.22569943499730777,0.19166177371721693,0.2048561802026307,0.2559021089477727,0.3769502524597219,0.1990870443029028,0.3438921451471204,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_3,13.66734082259618,7.8243939044688045,-1.0846572634405272,-1.5132468965204808,11.4821344581836,22.600068106094582,7.964852616599307,4.926124518381774,4.275871817871683,3.4708103316422036,3.6772335718721205,3.3742715383530664,3.553344638391575,3.5269666127075316,4.534207208269507,5.291806453812383,4.823021745616875,5.34674455818926,4.792483319593681,4.8275399987543794,4.773107171088599,3.2863184785824275,6.357098158360081,6.839029948740164,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_4,13.679391744236165,7.8243939044688045,-1.084657265432177,-1.5132468965204808,12.010541852411025,22.60046496367175,7.951925176775964,4.926614015622113,4.0258388634782065,3.4708103316422036,3.6772335718721205,3.3742715383530664,3.553344638391575,3.520164130907633,4.167105828813135,4.376164494093706,4.520518375849284,4.3721687448974755,4.030092160809688,4.064666398378195,3.9332920287156883,3.2863184785824275,5.065232381061592,6.839029948740164,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
107_CC_1,-0.00013303903184941866,-2.1194765564981655e-05,-1.9444318786319683,-2.5751310516370034,-5.552774386569717,-1.917407112367935e-06,-23.713542452953984,-9.10423784922885,24.985912231057757,17.154220490943445,23.334744929815123,20.252444220995045,29.913247093468676,26.431204855987062,11.145881344266806,14.323199609871091,12.70622332625835,12.40048370165035,10.588908021704556,10.009542975685358,8.20023609127196,12.50594410603557,25.871088068362756,-28.107335266327475,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
113_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.461708974684037,4.5425059768890135,-6.581680650715944e-13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
