time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,0.0022229426929645762,2.9387876650553224e-09,0.003374463931473712,0.0019788921820219655,0.0005612942386820434,9.89156056556092e-10,0.000851869884780383,0.0004992602564865816,7.249368350733305e-05,-1.0215532799236082e-08,0.00011032653877856723,6.471987953379367e-05,8.375489055377426e-05,7.674141856143688e-10,0.00012726224803708865,7.460819246050126e-05,0.0004990435690848566,7.48327670251921e-09,0.0007577141402382262,0.0004443000348991765,-0.001212230008607076,-0.0010258556326237617,-0.0010389683848702992,-0.0009899038382472608,-0.0006590966333243631,-0.00048731001627660975,-0.0004968371099348667,-0.00044884021092410126,-0.0014567392359219116,-0.001270293862644018,-0.0012836384178162383,-0.0012345322125730134,-0.0011234292111324841,-0.0009369097048595965,-0.0009502396499816352,-0.0009011223936947104,-0.0016974430404149419,-0.0015016101492135547,-0.0015151071102882355,-0.0014640274608222331,-0.0018785211696385829,-0.0016923011407591743,-0.001705616253214672,-0.00165658589970342,-0.0019327590788145587,-0.0018101087047856553,-0.001818876638416602,-0.001786578580024697,-0.0018831858794002088,-0.0017605769553669646,-0.001769339296515385,-0.0017370526451225548,-0.001289193034061894,-0.0011666831518386729,-0.001175436528200379,-0.0011431687688995998,-0.0010407779688390247,-0.0009181429765194075,-0.0009269419345461937,-0.0008946568518300475,-0.0006411085980225645,-0.0004438191817036276,-0.00045759273098244313,-0.0004082333167745088,-0.0006149819522901579,-0.000495074196142044,-0.0005047228368501884,-0.0004675943281289746,-0.0005851654645227942,-0.00046246295593081185,-0.00047127755628762776,-0.00043894770213710765,-0.000581577856175465,-0.0004588559671032311,-0.0004677264925670048,-0.0004353262287701147,-0.0007411942874285166,-0.0006183212839051962,-0.0006271112171003623,-0.0005947512199289877,-0.0005513105214727833,-0.0003648021060211417,-0.00037810396700569435,-0.0003290055477372752,-0.0012368659595976752,-0.0010541085912464327,-0.0010680453696625546,-0.0010180419717169093,-0.000677756425111659,-0.00046353102116788986,-0.00047014511544365804,-0.0004222588600567348,-0.0010952939457593014,-0.0009076703089120619,-0.0009242672951773612,-0.0008740326348310327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,0.0022229426929636403,2.93878763640528e-09,0.0033744639314722963,0.001978892182021524,0.000561294238682057,9.891560547942635e-10,0.0008518698847802364,0.0004992602564866129,7.249368350766788e-05,-1.0215532810935301e-08,0.00011032653877901934,6.471987953411893e-05,8.375489055335582e-05,7.674141760124033e-10,0.0001272622480363774,7.460819246013587e-05,0.000499043569085117,7.483276689928913e-09,0.0007577141402386508,0.0004443000348994754,-0.001212230008607088,-0.0010258556326237683,-0.0010389683848704189,-0.0009899038382472608,-0.0006815126529356452,-0.00048006104229253443,-0.0004971945072077544,-0.0004469515250954355,-0.001456464601706225,-0.0012700495445676912,-0.0012833886807071728,-0.0012342944542801171,-0.0011234194100702953,-0.000936900971580672,-0.000950230968290619,-0.0009011140596429925,-0.0016140302584437829,-0.001436999845049598,-0.001450157032013902,-0.0014030440810949016,-0.0018785211696476156,-0.0016923011407672533,-0.0017056162532232614,-0.0016565858997113936,-0.001932759078836568,-0.0018101087048051315,-0.0018188766384359602,-0.0017865785800435506,-0.001883185879417485,-0.0017605769553820662,-0.0017693392965306336,-0.0017370526451371698,-0.0012891933363412189,-0.0011666564293050057,-0.001175415685064541,-0.0011431415028094352,-0.0010420053109105785,-0.0009192521716135623,-0.0009280193541745641,-0.0008956795638636788,-0.0006047019298398421,-0.0004289068478537887,-0.0004418246365099402,-0.0003929297687629159,-0.0005497042255719264,-0.000424204384478989,-0.000432111646520819,-0.00040461278618833513,-0.0005851169212021525,-0.00046238212970748375,-0.0004711290546101003,-0.0004388195511565027,-0.0005820118803716288,-0.00045921765250298783,-0.000468036218281271,-0.0004356577250130058,-0.0007411942872482907,-0.0006183212837577582,-0.0006271112169507931,-0.0005947512197873386,-0.0005513105214712659,-0.00036480210601976573,-0.00037810396700479446,-0.000329005547736101,-0.0012085706757998047,-0.001013975916035268,-0.0010305311124982753,-0.0009805326971890028,-0.0005792388060102511,-0.0004197272919366642,-0.000440298667326618,-0.0003895928427836264,-0.0010952939458229172,-0.0009076703089608701,-0.0009242672964320242,-0.0008740326346344934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008948321418239397,-0.0008951215249673738,-0.0008950986869193933,-0.0008951875156627016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008948321418239397,-0.0008951215249673738,-0.0008950986869193933,-0.0008951875156627016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.048661092440189985,-3.4919222718921006e-07,-0.07385228955840928,-0.0432748207514192,-0.03044170695275375,5.403876324749923e-07,-0.04621413978337996,-0.027092052265856162,-0.018480696989587236,5.60896349699469e-07,-0.006331971467623543,-0.00020092272451063185,-0.02354407239093276,-1.1242554614820932e-05,-0.013961457474992667,-0.004700008836863971,-0.014229383490748884,-2.539890659597477e-06,-0.021594300109820663,-0.012655419027865811,-0.02902367204531573,-0.029008095270452863,-0.029035066597042417,-0.029025915350777493,-0.01080845694473534,-0.010809403928292105,-0.01080936490075235,-0.010809938651442329,-0.008018654448524926,-0.008019850704523823,-0.008019782897750627,-0.008020093204954724,-0.007544463862223932,-0.0075457550943469065,-0.007545619616639243,-0.0075459731991951206,-0.00501917095859053,-0.0050200116702300845,-0.005019940540735401,-0.005020167392702836,-0.00663590225408256,-0.006637315391866239,-0.006637236122754686,-0.0066376012096317745,-0.006698710083283266,-0.006699439564737786,-0.006699380296763646,-0.006699574853966988,-0.005982211618887401,-0.0059829628150736,-0.0059829047511068545,-0.005983103361661213,-0.0067289619637091735,-0.006729944272689026,-0.006729868798475147,-0.006730127583788695,-0.007246757513462154,-0.007247770329945669,-0.007247694338507471,-0.007247954077692601,-0.003868541789200819,-0.003869744576992934,-0.0038696576500387714,-0.003869967775698707,-0.0030515805592724043,-0.0030521936332727345,-0.003052156260820338,-0.0030523175107861297,-0.00486401800229362,-0.004864741449532334,-0.004864670115303116,-0.004864869633202727,-0.0036519878586961374,-0.003652405838620698,-0.0036527208880144935,-0.0036524851798279408,-0.004621931293664533,-0.004622443703042878,-0.004622355262614453,-0.004622518935378493,-0.0025632749750497674,-0.002562227824216834,-0.002562186797944399,-0.002561108326443405,-0.006782925850853577,-0.006800846830013488,-0.00678485004832563,-0.006788259905247573,-0.003906321084077402,-0.0039078683606577624,-0.0039054737160396646,-0.0039068542029694385,-0.0032769704249400733,-0.0032769039417853696,-0.0032768773262222828,-0.00327772556542065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.048661092440189985,-3.4919222718921006e-07,-0.07385228955840928,-0.0432748207514192,-0.030442476945051977,5.404852708168484e-07,-0.04621530917836347,-0.027092738137607507,-0.018480696989587236,5.60896349699469e-07,-0.006331971467623543,-0.00020092272451063185,-0.02355423209751547,1.0579730980508906e-05,-0.014075348899099005,-0.004708464030018659,-0.017001054822295913,-4.006320782901085e-06,-0.025800441239628102,-0.015120570750832441,-0.024323224055965285,-0.024313272424296015,-0.024331298304131773,-0.024325167664574498,-0.01080845694473534,-0.010809403928292105,-0.01080936490075235,-0.010809938651442329,-0.008018654447655094,-0.008019850703653797,-0.008019782896880878,-0.008020093204082831,-0.0075449271946407825,-0.0075462185105993895,-0.0075460830191840245,-0.0075464366281671625,-0.005014257238823483,-0.005015097129564938,-0.0050150260861894225,-0.005015252699035009,-0.006635902246999503,-0.006637315384781739,-0.006637236115670131,-0.00663760120254524,-0.0066987100823262535,-0.0066994395637806625,-0.00669938029580619,-0.0066995748530101155,-0.005982211618887401,-0.0059829628150736,-0.0059829047511068545,-0.005983103361661213,-0.006729087010299506,-0.006730069338460987,-0.006729993862537587,-0.006730252652909801,-0.007246757513462154,-0.007247770329945669,-0.007247694338507471,-0.007247954077692601,-0.0038685417323647275,-0.0038697445201392178,-0.0038696575931864707,-0.0038699677188371163,-0.0030515805653579253,-0.0030521936393595323,-0.0030521562669070246,-0.0030523175168732032,-0.004678770605540148,-0.0046794658592609895,-0.004679394874619103,-0.004679586646726829,-0.0036519878586961374,-0.003652405838620698,-0.0036527208880144935,-0.0036524851798279408,-0.004621931294809478,-0.004622443704187962,-0.004622355263759426,-0.004622518936523689,-0.0025632749740116673,-0.0025622278231793028,-0.00256218679690684,-0.002561108325406127,-0.006782925850853577,-0.006800846830013488,-0.00678485004832563,-0.006788259905247573,-0.003906321084077402,-0.0039078683606577624,-0.0039054737160396646,-0.0039068542029694385,-0.0032769704249400733,-0.0032769039417853696,-0.0032768773262222828,-0.00327772556542065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,0.007067969717025946,2.669357512807835e-09,0.010726973431940401,0.00628670564621265,0.009616577741901056,-1.8230623677339963e-09,0.014595003078904156,0.0085536825805626,0.009050964086652312,1.2894385337247627e-08,0.01374773391115447,0.008058859431043699,0.006552177643985214,1.899484569634069e-09,0.009952326238708231,0.005834046938370601,0.010066688583237752,2.8745598901203095e-08,0.015278118020078502,0.008954019546699615,0.010854388765169087,0.010855204905312776,0.010855480956966979,0.010855585193701901,0.011900566492442644,0.011901946617492776,0.01190171833162168,0.011902213205001351,-0.11442919383792505,-0.11444891326088902,-0.11445183864860997,-0.1144556515906418,-0.09634107937330605,-0.09636123107557548,-0.09635356096512382,-0.09636044237335763,-0.06800144129418123,-0.06801357203152825,-0.06801203106261244,-0.06801547884503242,-0.07514577962631303,-0.07516187945416863,-0.07515993342136262,-0.07516443367200615,-0.08009909604446153,-0.08010864934692363,-0.08010786839742678,-0.08011038542315946,-0.1174228432520642,-0.1174385969000371,-0.1174373437809253,-0.11744155964894641,-0.16236704493229814,-0.1623895523827863,-0.16238889692689806,-0.16239486115594615,-0.08518627869243633,-0.08520111399311303,-0.08520108551451377,-0.08520482214216951,-0.06518363728647558,-0.06520488690157378,-0.06520381202969183,-0.06521022020841448,-0.04724578595942952,-0.04725414069725309,-0.047252105782732645,-0.047256787282357486,-0.04321509473477379,-0.043220670784947735,-0.04322005430031206,-0.04322158155185229,-0.02982461237326617,-0.029828476339913035,-0.029831304768777045,-0.029829114744799073,-0.041432817061654914,-0.041436762864478616,-0.04143580103958433,-0.04143721114582925,-0.01628320096685859,-0.016296293087750047,-0.01629414607463997,-0.016299443872242893,-0.024731055453174444,-0.02476036374466345,-0.024745573157697542,-0.02474933769686623,-0.022131962926309923,-0.022135559868820542,-0.02213515061025939,-0.022136135346840075,0.057468737200264464,0.057434688416458046,0.0574907534573601,0.05744404964087225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
