line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,80.8,75.02,155.82,175.0,46.2,89.0,False
A1,2020-07-15 01:00:00,136.32,27.32,163.64,175.0,77.9,93.5,False
A1,2020-07-15 02:00:00,164.32,8.19,172.52,175.0,93.9,98.6,False
A1,2020-07-15 03:00:00,160.44,11.36,171.8,175.0,91.7,98.2,False
A1,2020-07-15 04:00:00,140.98,23.6,164.58,175.0,80.6,94.0,False
A1,2020-07-15 05:00:00,136.12,0.0,136.12,175.0,77.8,77.8,False
A1,2020-07-15 06:00:00,146.49,0.0,146.49,175.0,83.7,83.7,False
A1,2020-07-15 07:00:00,134.24,31.93,166.17,175.0,76.7,95.0,False
A1,2020-07-15 08:00:00,150.8,16.69,167.49,175.0,86.2,95.7,False
A1,2020-07-15 09:00:00,131.22,39.23,170.45,175.0,75.0,97.4,False
A1,2020-07-15 10:00:00,132.89,40.55,173.45,175.0,75.9,99.1,False
A1,2020-07-15 11:00:00,132.92,42.08,175.0,175.0,76.0,100.0,True
A1,2020-07-15 12:00:00,131.57,43.43,175.0,175.0,75.2,100.0,True
A1,2020-07-15 13:00:00,151.63,23.37,175.0,175.0,86.6,100.0,True
A1,2020-07-15 14:00:00,155.32,19.68,175.0,175.0,88.8,100.0,True
A1,2020-07-15 15:00:00,136.75,17.09,153.84,175.0,78.1,87.9,False
A1,2020-07-15 16:00:00,159.21,15.79,175.0,175.0,91.0,100.0,True
A1,2020-07-15 17:00:00,159.68,15.32,175.0,175.0,91.2,100.0,True
A1,2020-07-15 18:00:00,158.19,16.81,175.0,175.0,90.4,100.0,True
A1,2020-07-15 19:00:00,148.65,26.35,175.0,175.0,84.9,100.0,True
A1,2020-07-15 20:00:00,155.1,18.28,173.38,175.0,88.6,99.1,False
A1,2020-07-15 21:00:00,132.26,37.21,169.46,175.0,75.6,96.8,False
A1,2020-07-15 22:00:00,145.94,19.45,165.39,175.0,83.4,94.5,False
A1,2020-07-15 23:00:00,111.29,0.0,111.29,175.0,63.6,63.6,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.31,0.0,170.31,175.0,97.3,97.3,False
A1,2020-07-16 22:00:00,139.64,0.0,139.64,175.0,79.8,79.8,False
A2,2020-07-15 00:00:00,34.57,0.0,34.57,175.0,19.8,19.8,False
A2,2020-07-15 01:00:00,79.82,0.0,79.82,175.0,45.6,45.6,False
A2,2020-07-15 02:00:00,102.88,0.0,102.88,175.0,58.8,58.8,False
A2,2020-07-15 03:00:00,102.74,0.0,102.74,175.0,58.7,58.7,False
A2,2020-07-15 04:00:00,93.4,0.0,93.4,175.0,53.4,53.4,False
A2,2020-07-15 05:00:00,84.22,0.0,84.22,175.0,48.1,48.1,False
