,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_3,-0.6981705033655912,-0.1844985434933427,-0.025700073502681116,-0.02985315180283015,-0.18837313911649517,0.47082996993222437,0.264905983202257,0.5755276233423622,0.31757746354799793,0.6832111903180147,0.7180511554839013,0.7768302912852071,0.7887064248061549,0.47083860129533434,0.4063142286635764,0.3144258839155488,0.34191707566382057,0.32722761504724523,0.3493371585423728,0.5080454456657958,0.36126176979845215,0.6447371482563138,0.344364776315315,0.7195839959608459,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_4,-0.698170503365359,-0.18449854349334868,-0.025700073502802755,-0.029853151802680614,-0.1883731391166063,0.4708299699322278,0.26674655888764087,0.5754177596111323,0.3175745870792305,0.6526125948931525,0.7180511554873519,0.7768302912937746,0.7887064248131576,0.47083383135610163,0.4067931239187893,0.30115356393012355,0.29743687254115,0.3271600204428763,0.3496037615822339,0.5080454455443046,0.3612617697972246,0.6207762518562487,0.3145343499772707,0.7195839959568695,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5887634919728184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5887634919728184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_3,15.27603286393581,10.008579357575343,3.8612965810471085,5.583002216023317,5.368556842674449,12.84572345112327,5.391697670151796,3.4638471887063567,2.4034164446230926,2.206845533470152,2.7065909951109397,2.7912816156147544,2.5897947741621925,2.582304996095093,3.0769589483679876,2.5453057126678,2.041885819471298,3.3607676817302026,2.725691589117454,3.7395705527956125,2.3914510827158555,4.194777097783368,3.0287684283038634,2.6550142036099795,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_4,15.27603286393581,10.00883260644439,3.8612965810471085,5.585633196812178,6.414444022097941,10.765839519577085,5.391697670151796,3.4638471883304183,2.403564047811208,2.2046850539502505,2.7065909922218205,2.791281615215998,2.5897947741621925,2.582352984108758,3.0769589483679876,2.545305675271417,2.0418858235433013,3.232770830838194,2.725691589117454,3.739570553722008,2.391451081747407,4.194777097783368,3.0287684283038634,2.6550142036099795,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
107_CC_1,-2.2189993408069153,-3.1609761921393673,-3.205243483784591,-2.334973142292055,-3.797933753420076,-4.805219105216594,-5.936556330822201,49.431479778354664,30.691510461978595,29.899284489921378,30.64971821195811,33.37663488208633,50.834439348978805,62.30980146172881,36.170906549792065,42.88845223384587,31.612848733581473,29.858689034595926,22.260148951072583,33.5224637110594,15.209384774042018,15.281529139843801,17.158383838481527,-46.533714456145574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
113_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
