method,score_type,alpha_target,tau,coverage,gap,rmse,mae,q_hat_global,margin_mw_mean,margin_normalized_mean,margin_normalized_std
binned,absolute,0.9,,0.8753387533875339,0.02466124661246616,67.1897012895734,51.79985564073575,12.395556558333533,13.56027436442574,0.5304513746300408,0.4064246501067453
binned,scaled,0.9,,0.8766937669376694,0.023306233062330595,68.76278836568297,52.6108855436002,0.4217000431298801,14.598987126257024,0.5710837834996313,0.44455296063326294
weighted,absolute,0.9,0.5,0.9966101694915255,0.09661016949152545,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.9,1.0,0.9966101694915255,0.09661016949152545,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.9,2.0,0.9949152542372881,0.09491525423728808,142.3291145856405,130.5036551145691,,96.64558280480274,3.780585913897185,1.031169205865149
weighted,absolute,0.9,5.0,0.9423728813559322,0.0423728813559322,101.98471771092863,81.99718775073649,,46.8894624330142,1.8342239349158895,1.362309433995105
weighted,absolute,0.9,10.0,0.9186440677966101,0.018644067796610098,82.13004068893493,64.54755673210786,,28.213677586960596,1.1036638092392912,0.7610912039404559
weighted,scaled,0.9,0.5,0.9966101694915255,0.09661016949152545,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.9,1.0,0.9966101694915255,0.09661016949152545,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.9,2.0,0.9932203389830508,0.09322033898305082,208.01212282815104,178.11313307001822,,144.3618022596973,5.647150964262183,3.204232750371462
weighted,scaled,0.9,5.0,0.9457627118644067,0.045762711864406724,131.52231786073972,91.43553162290509,,56.17289176830401,2.197373508430722,2.8564085799204277
weighted,scaled,0.9,10.0,0.9169491525423729,0.016949152542372836,83.69194154834743,64.15639358310102,,27.61243033666053,1.0801441943817265,0.8796699641101519
binned,absolute,0.95,,0.9376693766937669,0.012330623306233024,79.14951955175862,63.850081897915516,29.07809324009068,28.055836075774955,1.0974893584625607,0.7181915502601076
binned,scaled,0.95,,0.9308943089430894,0.019105691056910512,82.6721620026255,64.7228964707613,1.0115438642908001,29.17353543095257,1.141211568164487,0.9190312434992246
weighted,absolute,0.95,0.5,0.9966101694915255,0.04661016949152552,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.95,1.0,0.9966101694915255,0.04661016949152552,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.95,2.0,0.9966101694915255,0.04661016949152552,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.95,5.0,0.9830508474576272,0.03305084745762721,128.6427159373922,110.03464504875588,,76.08746498780623,2.9763926090448343,1.5628980498343688
weighted,absolute,0.95,10.0,0.9677966101694915,0.017796610169491522,103.09863042059612,84.85788556874508,,50.34870591754659,1.969542764921577,1.2286204460027708
weighted,scaled,0.95,0.5,0.9966101694915255,0.04661016949152552,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.95,1.0,0.9966101694915255,0.04661016949152552,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.95,2.0,0.9966101694915255,0.04661016949152552,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.95,5.0,0.9796610169491525,0.029661016949152574,192.57664934200218,151.45074555611555,,117.6028230460945,4.600392106285829,3.7436095217455656
weighted,scaled,0.95,10.0,0.9610169491525423,0.011016949152542366,110.2974962401582,84.45762727623689,,49.6999677914675,1.9441654000169006,1.7240013859095331
binned,absolute,0.99,,0.9959349593495935,0.005934959349593538,110.93554883699458,97.97857142470461,69.62057615086425,63.945185939819346,2.50141043397592,1.0304006866825568
binned,scaled,0.99,,0.983739837398374,0.006260162601625985,111.32274646813264,91.13604864512945,2.3174381873421983,56.8998916631009,2.225812320447874,1.5858231504399405
weighted,absolute,0.99,0.5,0.9966101694915255,0.006610169491525486,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.99,1.0,0.9966101694915255,0.006610169491525486,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.99,2.0,0.9966101694915255,0.006610169491525486,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.99,5.0,0.9966101694915255,0.006610169491525486,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,absolute,0.99,10.0,0.9966101694915255,0.006610169491525486,145.9256004136795,138.24258009860054,,104.39029755814931,4.083543986619353,0.0
weighted,scaled,0.99,0.5,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.99,1.0,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.99,2.0,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.99,5.0,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
weighted,scaled,0.99,10.0,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,,148.43484281368063,5.80648033347114,2.9815390567910782
