RESOURCEASSETNAME,LATITUDE,LONGITUDE
OKGE.GRDA.REDDIRT,36.026,-97.763
EDE_ERW,37.72889,-96.97948
WR.MIDW.SMOKY2.ENEL,38.8207,-97.6068
WR.CPW,38.4823,-101.3592
NPPD.THWE.THW1,42.3755,-98.1217
NPPD.UPSR.UPSR,42.18729,-98.00486
OKGETALOGAWIND,35.83574,-98.68004
OKGEKEENANWIND,36.41858,-99.41702
SEILINGII,36.11541,-98.99838
WR.CBW,38.67328,-99.73438
CSWS.WTHW.WTHW,35.54914,-98.84476
OKGE.CSWS.RFWIND,36.87819,-97.48615
WR.KMW.2,37.5459,-98.4035
OKGE.TNSK.DSW,34.48074,-96.78761
WAUE.BEPM.WILTON2,47.12039,-100.5639
MIDW.LES.BKEYE,39.0017,-99.4202
GRDA.KAY,36.9484,-97.165
WAUE.BEPM.BURKE,48.408,-102.86
CANADIAN_HILLS_3,35.40146,-98.71128
WAUE.OPPD.GRPR1,42.557,-98.437
OKGE.AFGE.AFGE100,36.3186,-97.587
SPS.SAGAMORE.WND,33.94047,-103.1859
OKGE.GRANTPLNS.WIND.1,36.97378,-97.67526
OKGE.RCKW.RCKWIND,34.39226,-97.25398
OKGECENTWIND,36.77638,-99.74968
WAUE.PCWF.PCWF,44.82572,-95.55139
SPS.GRVW.GRVW,36.5137,-101.46
WAUE.NWPS.TITAN,44.30005,-99.09531
WFEC_GRANT_COUNTY_WIND,36.8873,-97.7205
OKGE.CU.DUK.FRNTR,36.80448,-97.28282
WFEC_REDHILLS_WIND_FARM,35.64081,-99.68884
OKGE.WFEC.SKLCRKWIND,36.49224,-98.05303
SECI.KCPS.SPEARVILLE3,37.88224,-99.80251
OKGE.SUEZ.KPLN,36.3952,-97.4508
SPS.SPINSPUR,35.31173,-102.5004
SPS.GGPO.STOCKYARD10_11,35.812,-101.993
SECI.KCPS.CIMARRON,37.89228,-100.355
SPS.GPW1.GREATPLNS,36.4991,-101.3721
OKGE.25MC.25MC,36.4738,-99.8079
NPPD.LBLU.LBLU,40.26883,-98.85678
NPPD_BBW1,41.47163,-99.55939
CSWS.EKCW.EKCW,35.48743,-99.8823
CSWS.TNSK.ELKCITY2,35.42542,-99.4695
SPS.GPWC.GPWC,36.2969,-101.41
SPS.GGPO.STOCKYARD4,36.397,-101.375
OKGECWBYWIND,36.5109,-97.2558
OKGE.GLAS.GLAS,34.3029,-96.5318
NPPD.ETNA.ASSET2,42.37463,-96.82863
NPPD_AINSWIND,42.38439,-99.87484
WAUE.BEPM.LAKOTA,43.38,-94.137
OKGE.GBST.BLUESTEM,36.5522,-100.6366
GRDA.BRECK,36.26113,-97.43572
EDE.KINGSPOINT,37.293,-94.0957
SPS.BETH.BETH,34.50737,-102.4669
CANADIAN_HILLS_2,35.62972,-98.02462
