method,alpha_target,tau,coverage,gap,rmse,mae,q_hat_mean,q_hat_std,q_hat_global,n_bins
binned,0.9,,0.8861788617886179,0.013821138211382089,66.335142177178,50.16609572437762,,,0.4217000431298801,1.0
weighted,0.9,0.5,0.9966101694915255,0.09661016949152545,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.9,1.0,0.9966101694915255,0.09661016949152545,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.9,2.0,0.9932203389830508,0.09322033898305082,208.01212282815104,178.11313307001822,5.299986033525087,1.3525336855414505,,
weighted,0.9,5.0,0.9457627118644067,0.045762711864406724,131.52231786073972,91.43553162290509,2.010724346026236,1.9067177202140417,,
weighted,0.9,10.0,0.9169491525423729,0.016949152542372836,83.69194154834743,64.15639358310102,1.1543927796695292,1.1343644855926518,,
binned,0.95,,0.940379403794038,0.009620596205962006,80.24424248454041,63.404731938561966,,,1.0115438642908001,1.0
weighted,0.95,0.5,0.9966101694915255,0.04661016949152552,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.95,1.0,0.9966101694915255,0.04661016949152552,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.95,2.0,0.9966101694915255,0.04661016949152552,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.95,5.0,0.9796610169491525,0.029661016949152574,192.57664934200218,151.45074555611555,4.04533260284642,2.2388743972230265,,
weighted,0.95,10.0,0.9610169491525423,0.011016949152542366,110.2974962401582,84.45762727623689,1.9698791236509192,1.5758477398674788,,
binned,0.99,,0.983739837398374,0.006260162601625985,114.52209607495064,95.7226196307643,,,2.3174381873421983,1.0
weighted,0.99,0.5,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.99,1.0,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.99,2.0,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.99,5.0,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
weighted,0.99,10.0,0.9966101694915255,0.006610169491525486,208.93189313075106,182.18256087952784,5.69770076109058,0.0,,
