hour,122_WIND_1,303_WIND_1,309_WIND_1,317_WIND_1
0,395.45,108.48,8.01,35.64
1,320.82,101.37,7.70,-0.60
2,256.25,93.05,8.55,-35.37
3,251.91,72.76,7.45,-47.85
4,335.13,-7.04,12.93,-93.34
5,379.20,-15.29,24.83,-23.72
6,232.72,-39.01,20.18,39.76
7,244.60,-14.20,18.54,54.74
8,399.20,15.01,21.20,24.90
9,345.66,-23.43,13.61,19.48
10,284.51,2.81,17.74,69.66
11,226.97,7.03,21.30,65.90
12,173.86,6.70,21.51,66.41
13,187.86,15.81,19.93,78.04
14,244.65,-8.93,10.29,42.03
15,300.15,66.18,-1.04,24.01
16,343.43,35.98,26.51,55.34
17,401.12,-21.61,24.87,84.82
18,421.55,-20.62,22.02,102.10
19,436.65,58.00,30.18,127.27
20,430.52,-0.70,16.23,186.18
21,573.78,173.42,76.66,216.40
22,602.96,213.00,80.82,153.50
23,643.91,66.72,49.61,233.73
24,523.32,121.25,8.36,173.39
25,450.91,81.16,0.76,104.71
26,399.06,30.49,-4.57,9.65
27,388.10,36.83,-0.50,11.29
28,193.50,17.59,5.03,47.81
29,52.13,8.17,8.96,60.33
30,-9.55,24.57,9.73,29.55
31,-14.60,14.32,7.74,-93.17
32,-18.57,-40.37,-0.63,-122.11
33,-86.31,-13.94,-11.05,-101.65
34,-48.52,-62.95,-15.61,-63.27
35,-60.44,-81.48,-16.40,-68.96
36,-58.81,-62.15,-11.25,-46.08
37,-49.36,-16.40,-1.77,-18.68
38,-82.77,-12.54,-0.75,-24.00
39,-57.52,-9.28,-12.35,-71.51
40,18.71,-22.45,3.25,-6.86
41,76.10,36.51,5.31,110.35
42,4.43,-62.08,-12.06,145.63
43,21.36,-142.68,-16.29,55.73
44,22.17,-88.56,-4.19,-22.38
45,21.83,-17.76,-3.56,-86.26
46,2.97,-72.27,1.26,-37.77
47,-16.82,-50.55,0.96,-16.50
